t_s,joint,cmd_deg
0.30062057985924184,1,0.0
0.3056720949243754,1,0.09
0.3106432808563113,1,0.18
0.3156644129194319,1,0.27
0.3206624479498714,1,0.36
0.32565911090932786,1,0.45
0.3306630759034306,1,0.54
0.33572445600293577,1,0.63
0.3406998298596591,1,0.72
0.3457766380161047,1,0.8099999999999999
0.3506540998350829,1,0.9
0.35571439983323216,1,0.99
0.36070696683600545,1,1.08
0.36565844900906086,1,1.17
0.37070330884307623,1,1.26
0.3756696409545839,1,1.3499999999999999
0.38071308098733425,1,1.44
0.3857080019079149,1,1.53
0.390666983788833,1,1.6199999999999999
0.3957278518937528,1,1.71
0.40070898993872106,1,1.8
0.40571721992455423,1,1.8900000000000001
0.41071526100859046,1,1.98
0.4157441179268062,1,2.07
0.4208468529395759,1,2.16
0.4257559149991721,1,2.25
0.4307892208453268,1,2.34
0.43567819194868207,1,2.43
0.4406685179565102,1,2.52
0.44572621397674084,1,2.6100000000000003
0.4507109089754522,1,2.6999999999999997
0.4557047449052334,1,2.79
0.46072275494225323,1,2.88
0.4657096019946039,1,2.97
0.47070328891277313,1,3.06
0.4756636768579483,1,3.1500000000000004
0.4807450408115983,1,3.2399999999999998
0.48572438582777977,1,3.3299999999999996
0.4907154208049178,1,3.42
0.4957269919104874,1,3.51
0.5007219549734145,1,3.6
0.5057577558327466,1,3.69
0.5107523929327726,1,3.7800000000000002
0.5157127559650689,1,3.8699999999999997
0.5206588839646429,1,3.96
0.5256658447906375,1,4.05
0.5307346750050783,1,4.14
0.5357398458290845,1,4.23
0.540705787949264,1,4.32
0.5457240589894354,1,4.41
0.5507338789757341,1,4.5
0.555701995966956,1,4.59
0.5607169708237052,1,4.68
0.5656473578419536,1,4.77
0.5707090538926423,1,4.86
0.575656299944967,1,4.95
0.5805865479633212,1,5.04
0.5855717628728598,1,5.13
0.5907452169340104,1,5.220000000000001
0.5957586979493499,1,5.31
0.6007006149739027,1,5.3999999999999995
0.6057034737896174,1,5.49
0.610711796907708,1,5.58
0.6157083979342133,1,5.67
0.6207066548522562,1,5.76
0.6257047199178487,1,5.8500000000000005
0.6307122458238155,1,5.94
0.6357053159736097,1,6.03
0.6407085689716041,1,6.12
0.6457143498118967,1,6.210000000000001
0.6506581918802112,1,6.300000000000001
0.6557044009678066,1,6.39
0.6607249418739229,1,6.4799999999999995
0.6657107919454575,1,6.569999999999999
0.6707340229768306,1,6.659999999999999
0.675691899843514,1,6.75
0.6807075589895248,1,6.84
0.6857447780203074,1,6.93
0.6906532179564238,1,7.02
0.6957264440134168,1,7.11
0.7006638399325311,1,7.2
0.7056633739266545,1,7.29
0.7106703268364072,1,7.38
0.7156705879606307,1,7.470000000000001
0.7206538477912545,1,7.5600000000000005
0.7256470539141446,1,7.65
0.7306571048684418,1,7.739999999999999
0.7356574519071728,1,7.829999999999999
0.7406572629697621,1,7.92
0.7456581417936832,1,8.01
0.7506569388788193,1,8.1
0.7557453999761492,1,8.19
0.7607507607899606,1,8.28
0.7658139418344945,1,8.37
0.7706720989663154,1,8.46
0.7756608738563955,1,8.55
0.7807184348348528,1,8.64
0.7857059820089489,1,8.73
0.7906586178578436,1,8.82
0.7957135778851807,1,8.91
0.8006626048590988,1,9.0
0.8056967619340867,1,9.09
0.8107122268993407,1,9.18
0.8157219879794866,1,9.27
0.8207075528334826,1,9.36
0.825670993886888,1,9.45
0.8306615150067955,1,9.54
0.8357121557928622,1,9.629999999999999
0.8407499107997864,1,9.72
0.8457467139232904,1,9.81
0.8506927788257599,1,9.9
0.8557038640137762,1,9.99
0.8607176470104605,1,10.08
0.8657093117944896,1,10.17
0.8706655988935381,1,10.26
0.8756533937994391,1,10.35
0.8807207709178329,1,10.440000000000001
0.8857145318761468,1,10.530000000000001
0.8907128958962858,1,10.62
0.8957339799962938,1,10.709999999999999
0.9007183078210801,1,10.799999999999999
0.9056568138767034,1,10.89
0.9107326997909695,1,10.98
0.915714347967878,1,11.07
0.9207216890063137,1,11.16
0.9257092429324985,1,11.25
0.9307717338670045,1,11.34
0.9356741919182241,1,11.43
0.9407118188682944,1,11.52
0.9457173137925565,1,11.61
0.9507205679547042,1,11.700000000000001
0.9557173559442163,1,11.790000000000001
0.9607240229379386,1,11.88
0.9657208509743214,1,11.97
0.9707073168829083,1,12.06
0.9756565599236637,1,12.15
0.9807243070099503,1,12.24
0.9857186118606478,1,12.330000000000002
0.9906495129689574,1,12.420000000000002
0.9957141568884254,1,12.510000000000002
1.0007167828734964,1,12.600000000000001
1.0057499499525875,1,12.69
1.0107464499305934,1,12.78
1.0156752078328282,1,12.87
1.0207517128437757,1,12.959999999999999
1.0256575539242476,1,13.049999999999999
1.0307185449637473,1,13.139999999999999
1.0357108118478209,1,13.229999999999999
1.040705146966502,1,13.319999999999999
1.0457294038496912,1,13.41
1.050663772970438,1,13.5
1.0557039098348469,1,13.59
1.0607143668457866,1,13.68
1.0657373068388551,1,13.77
1.0707277928013355,1,13.86
1.0756629339884967,1,13.95
1.0806774338707328,1,14.04
1.0857235379517078,1,14.13
1.0907605669926852,1,14.22
1.0958252588752657,1,14.31
1.1006910579744726,1,14.4
1.10570455994457,1,14.49
1.1106474970001727,1,14.58
1.1157167239580303,1,14.67
1.1207064068876207,1,14.76
1.1256541598122567,1,14.850000000000001
1.1307121848221868,1,14.940000000000001
1.135714751901105,1,15.030000000000001
1.1407051829155535,1,15.120000000000001
1.1456576138734818,1,15.21
1.1506625979673117,1,15.3
1.1556491488590837,1,15.39
1.1606573928147554,1,15.479999999999999
1.1656681718304753,1,15.569999999999999
1.1706766767892987,1,15.659999999999998
1.175647985888645,1,15.749999999999998
1.1813314149621874,1,15.84
1.185611501801759,1,15.93
1.1906510929111391,1,16.02
1.1957120629958808,1,16.11
1.200709163909778,1,16.2
1.20565161597915,1,16.29
1.2107105248142034,1,16.38
1.2156478979159147,1,16.47
1.2206567649263889,1,16.56
1.2256636628881097,1,16.65
1.2306563248857856,1,16.74
1.235713770845905,1,16.83
1.2407034118659794,1,16.92
1.245714302873239,1,17.01
1.2507175409700722,1,17.1
1.2556133058387786,1,17.19
1.260763930855319,1,17.28
1.2656094739213586,1,17.37
1.2707142629660666,1,17.46
1.275709928944707,1,17.55
1.280655990820378,1,17.64
1.2857070709578693,1,17.73
1.2907047518528998,1,17.82
1.2957058269530535,1,17.91
1.300712110940367,1,18.0
1.3057073149830103,1,18.09
1.3107102799694985,1,18.18
1.3157143148127943,1,18.27
1.3207059879787266,1,18.36
1.325712129008025,1,18.45
1.3307013199664652,1,18.54
1.3356986159924418,1,18.63
1.3407127568498254,1,18.72
1.345752946799621,1,18.81
1.3506673527881503,1,18.9
1.3557089800015092,1,18.99
1.3606713397894055,1,19.08
1.3656716968398541,1,19.169999999999998
1.3707046329509467,1,19.259999999999998
1.375697024865076,1,19.35
1.3806579147931188,1,19.44
1.385628247866407,1,19.53
1.390637120930478,1,19.62
1.3955865318421274,1,19.71
1.4006169948261231,1,19.8
1.4056618348695338,1,19.89
1.410657319938764,1,19.98
1.4155994160100818,1,20.07
1.420665921876207,1,20.16
1.4257263569161296,1,20.25
1.4309909148141742,1,20.34
1.435663060983643,1,20.43
1.4406550258863717,1,20.52
1.445642742794007,1,20.61
1.4506521779112518,1,20.7
1.4557029448915273,1,20.790000000000003
1.4606999999377877,1,20.880000000000003
1.4656137258280069,1,20.970000000000002
1.4707052919548005,1,21.060000000000002
1.4756469728890806,1,21.15
1.4806641179602593,1,21.24
1.4856531259138137,1,21.33
1.4907062258571386,1,21.419999999999998
1.4956523508299142,1,21.509999999999998
1.5006303889676929,1,21.599999999999998
1.5056729149073362,1,21.689999999999998
1.5106285058427602,1,21.78
1.5156877709086984,1,21.87
1.5206666018348187,1,21.96
1.5256629548966885,1,22.05
1.5306476398836821,1,22.14
1.5356517708860338,1,22.23
1.540662275860086,1,22.32
1.5456555869895965,1,22.41
1.5506572499871254,1,22.5
1.5557134179398417,1,22.59
1.5607259299140424,1,22.68
1.5657513628248125,1,22.77
1.5707086978945881,1,22.86
1.5757837139535695,1,22.95
1.5806614579632878,1,23.04
1.5856591169722378,1,23.13
1.5907255259808153,1,23.22
1.5956864028703421,1,23.310000000000002
1.6006571769248694,1,23.400000000000002
1.6057034109253436,1,23.490000000000002
1.6106543960049748,1,23.580000000000002
1.615699329879135,1,23.67
1.6207024259492755,1,23.76
1.6257150617893785,1,23.85
1.6307067729067057,1,23.94
1.6356634369585663,1,24.03
1.6406591217964888,1,24.12
1.6457056959625334,1,24.21
1.6507118579465896,1,24.3
1.655645577935502,1,24.39
1.6607123219873756,1,24.48
1.6656644109170884,1,24.57
1.6706648378167301,1,24.660000000000004
1.675725505920127,1,24.750000000000004
1.681039595976472,1,24.840000000000003
1.6856702009681612,1,24.930000000000003
1.690659541869536,1,25.020000000000003
1.6956455910112709,1,25.110000000000003
1.7006764528341591,1,25.200000000000003
1.705644914880395,1,25.290000000000003
1.710606139851734,1,25.38
1.7156259098555893,1,25.47
1.7205856058280915,1,25.56
1.7256176848895848,1,25.65
1.7307169558480382,1,25.74
1.7356090068351477,1,25.83
1.7405820959247649,1,25.919999999999998
1.7456206229981035,1,26.009999999999998
1.7507140068337321,1,26.099999999999998
1.7556342650204897,1,26.189999999999998
1.7607135109137744,1,26.279999999999998
1.7657178698573261,1,26.369999999999997
1.7706757909618318,1,26.459999999999997
1.7756662229076028,1,26.549999999999997
1.7807185638230294,1,26.639999999999997
1.7856537399347872,1,26.73
1.7906553409993649,1,26.82
1.7956757359206676,1,26.91
1.800712457858026,1,27.0
1.805762086994946,1,27.09
1.8107021988835186,1,27.18
1.8156540598720312,1,27.27
1.8207628128584474,1,27.36
1.8257050679530948,1,27.45
1.8307045039255172,1,27.54
1.8357094179373235,1,27.63
1.8407039088197052,1,27.72
1.8457044078968465,1,27.81
1.8507230828981847,1,27.9
1.8557259268127382,1,27.99
1.8607296489644796,1,28.08
1.8656830359250307,1,28.17
1.8707062469329685,1,28.26
1.8757000039331615,1,28.35
1.8806565029080957,1,28.44
1.8857025599572808,1,28.53
1.8907031468115747,1,28.62
1.89570426591672,1,28.71
1.9007071289233863,1,28.8
1.905702699907124,1,28.89
1.9107055489439517,1,28.98
1.9157056959811598,1,29.07
1.920663506956771,1,29.16
1.9257275238633156,1,29.25
1.9309087339788675,1,29.34
1.9356715178582817,1,29.43
1.940662925830111,1,29.52
1.945699755800888,1,29.610000000000003
1.9507075760047883,1,29.700000000000003
1.95570956193842,1,29.790000000000003
1.960707452846691,1,29.880000000000003
1.9657111559063196,1,29.970000000000002
1.9707004867959768,1,30.060000000000002
1.9757122779265046,1,30.150000000000002
1.980701657012105,1,30.240000000000002
1.9857028438709676,1,30.330000000000002
1.990734496852383,1,30.42
1.995735390810296,1,30.51
2.0006649929564446,1,30.6
2.005911699961871,1,30.69
2.010572999017313,1,30.78
2.015653854003176,1,30.87
2.020637720823288,1,30.959999999999997
2.025647441856563,1,31.049999999999997
2.030646567000076,1,31.139999999999997
2.035610359860584,1,31.229999999999997
2.0406624348834157,1,31.319999999999997
2.0456501599401236,1,31.409999999999997
2.0506464168429375,1,31.499999999999996
2.0556643018499017,1,31.589999999999996
2.0606723048258573,1,31.68
2.0656248999293894,1,31.77
2.070668800966814,1,31.86
2.075720253866166,1,31.95
2.0806057970039546,1,32.04
2.085658208001405,1,32.129999999999995
2.090664670802653,1,32.22
2.0956540759652853,1,32.31
2.100662922952324,1,32.4
2.105711979791522,1,32.49
2.110740083968267,1,32.58
2.1157891449984163,1,32.67
2.1206833648029715,1,32.76
2.1256598338950425,1,32.85
2.1307056818623096,1,32.94
2.1357199088670313,1,33.03
2.140638713957742,1,33.12
2.1456944348756224,1,33.21
2.150655703851953,1,33.3
2.15561315882951,1,33.39
2.1605957217980176,1,33.48
2.1657248449046165,1,33.57
