t_s,joint,cmd_deg
0.30060267192311585,1,0.0
0.3057054248638451,1,0.09
0.3106490299105644,1,0.18
0.31564919790253043,1,0.27
0.32063980284146965,1,0.36
0.32570769381709397,1,0.45
0.33070126292295754,1,0.54
0.33569286996498704,1,0.63
0.3406575720291585,1,0.72
0.34565148199908435,1,0.8099999999999999
0.350692052859813,1,0.9
0.3556956478860229,1,0.99
0.36201638798229396,1,1.08
0.3656667179893702,1,1.17
0.3706888488959521,1,1.26
0.3756521709728986,1,1.3499999999999999
0.3806553778704256,1,1.44
0.38565619196742773,1,1.53
0.39064669981598854,1,1.6199999999999999
0.39564889785833657,1,1.71
0.40066740685142577,1,1.8
0.40572056802920997,1,1.8900000000000001
0.4106481629423797,1,1.98
0.41568117984570563,1,2.07
0.4206520109437406,1,2.16
0.42570647690445185,1,2.25
0.4307039638515562,1,2.34
0.4356518448330462,1,2.43
0.44065977283753455,1,2.52
0.44564075395464897,1,2.6100000000000003
0.45067802094854414,1,2.6999999999999997
0.4557202118448913,1,2.79
0.4607169369701296,1,2.88
0.4656568728387356,1,2.97
0.4706487038638443,1,3.06
0.4756638689432293,1,3.1500000000000004
0.4807050288654864,1,3.2399999999999998
0.48570903786458075,1,3.3299999999999996
0.4906900548376143,1,3.42
0.4957539939787239,1,3.51
0.5006990269757807,1,3.6
0.5056686790194362,1,3.69
0.5106511500198394,1,3.7800000000000002
0.5157098609488457,1,3.8699999999999997
0.520693315891549,1,3.96
0.5256709300447255,1,4.05
0.5306534699629992,1,4.14
0.5356489059049636,1,4.23
0.540708031039685,1,4.32
0.5457224668934941,1,4.41
0.5506368158385158,1,4.5
0.555715924827382,1,4.59
0.560695675900206,1,4.68
0.5656940478365868,1,4.77
0.5706683448515832,1,4.86
0.5756744008976966,1,4.95
0.5806730568874627,1,5.04
0.5856480370275676,1,5.13
0.5906798560172319,1,5.220000000000001
0.5957167649175972,1,5.31
0.6006714308168739,1,5.3999999999999995
0.6057024169713259,1,5.49
0.6106693090405315,1,5.58
0.6156549099832773,1,5.67
0.620700660860166,1,5.76
0.6256805788725615,1,5.8500000000000005
0.6306674499064684,1,5.94
0.6356993149966002,1,6.03
0.6406828358303756,1,6.12
0.6456562338862568,1,6.210000000000001
0.65064817504026,1,6.300000000000001
0.6556617799215019,1,6.39
0.6607017070055008,1,6.4799999999999995
0.6656797849573195,1,6.569999999999999
0.6707036800216883,1,6.659999999999999
0.6756664710119367,1,6.75
0.6806955300271511,1,6.84
0.6856420368421823,1,6.93
0.690696548903361,1,7.02
0.6956955019850284,1,7.11
0.7006987109780312,1,7.2
0.7056996228639036,1,7.29
0.710710969986394,1,7.38
0.7157164739910513,1,7.470000000000001
0.72070576203987,1,7.5600000000000005
0.7256948270369321,1,7.65
0.7306608709041029,1,7.739999999999999
0.7356519738677889,1,7.829999999999999
0.7406580508686602,1,7.92
0.7457106448709965,1,8.01
0.7506647938862443,1,8.1
0.7556728948839009,1,8.19
0.7606986868195236,1,8.28
0.7657089629210532,1,8.37
0.7707122040446848,1,8.46
0.7757018099073321,1,8.55
0.7807271429337561,1,8.64
0.7856895548757166,1,8.73
0.790697312913835,1,8.82
0.7957020208705217,1,8.91
0.8006457169540226,1,9.0
0.8057058330159634,1,9.09
0.8107227538712323,1,9.18
0.8157145599834621,1,9.27
0.8207038608379662,1,9.36
0.8257034218404442,1,9.45
0.8307039628271013,1,9.54
0.8357026849407703,1,9.629999999999999
0.8407185520045459,1,9.72
0.8457073629833758,1,9.81
0.8507234079297632,1,9.9
0.8557509118691087,1,9.99
0.8606919709127396,1,10.08
0.8657143330201507,1,10.17
0.8706518500111997,1,10.26
0.8757079539354891,1,10.35
0.8806810819078237,1,10.440000000000001
0.8856512368656695,1,10.530000000000001
0.890708050923422,1,10.62
0.8956452799029648,1,10.709999999999999
0.9007111608516425,1,10.799999999999999
0.9056859880220145,1,10.89
0.9106467529200017,1,10.98
0.9157534649129957,1,11.07
0.9206555390264839,1,11.16
0.9256642230320722,1,11.25
0.9306501729879528,1,11.34
0.9356607908848673,1,11.43
0.9406220719683915,1,11.52
0.945663342019543,1,11.61
0.9507131259888411,1,11.700000000000001
0.955665485933423,1,11.790000000000001
0.9611364300362766,1,11.88
0.9656293678563088,1,11.97
0.9706524889916182,1,12.06
0.9757106699980795,1,12.15
0.9806456849910319,1,12.24
0.9856450718361884,1,12.330000000000002
0.9906525199767202,1,12.420000000000002
0.9956413209438324,1,12.510000000000002
1.0006499618757516,1,12.600000000000001
1.0056826330255717,1,12.69
1.0106658188160509,1,12.78
1.0156496108975261,1,12.87
1.0207186669576913,1,12.959999999999999
1.0256567220203578,1,13.049999999999999
1.0306619298644364,1,13.139999999999999
1.0357194668613374,1,13.229999999999999
1.0406760480254889,1,13.319999999999999
1.0456628720276058,1,13.41
1.0506807840429246,1,13.5
1.0556854659225792,1,13.59
1.0609791099559516,1,13.68
1.0656573728192598,1,13.77
1.070656260009855,1,13.86
1.0756588149815798,1,13.95
1.080679286038503,1,14.04
1.0857082169968635,1,14.13
1.090723347850144,1,14.22
1.0956987789832056,1,14.31
1.1007006168365479,1,14.4
1.1056511278729886,1,14.49
1.1107233439106494,1,14.58
1.1156880208291113,1,14.67
1.1207637549377978,1,14.76
1.125654682982713,1,14.850000000000001
1.1307286138180643,1,14.940000000000001
1.1357095488347113,1,15.030000000000001
1.1407101769000292,1,15.120000000000001
1.1456472219433635,1,15.21
1.150693428935483,1,15.3
1.155688839033246,1,15.39
1.1608918809797615,1,15.479999999999999
1.16566668683663,1,15.569999999999999
1.170704283984378,1,15.659999999999998
1.1757059718947858,1,15.749999999999998
1.18064568284899,1,15.84
1.185646602883935,1,15.93
1.1906992229633033,1,16.02
1.1956978768575937,1,16.11
1.2006697580218315,1,16.2
1.2056541878264397,1,16.29
1.210706217912957,1,16.38
1.2157308289315552,1,16.47
1.2206426330376416,1,16.56
1.2256542178802192,1,16.65
1.2306885949801654,1,16.74
1.2356610768474638,1,16.83
1.2406456319149584,1,16.92
1.2456732029095292,1,17.01
1.2507154399063438,1,17.1
1.2557262508198619,1,17.19
1.2606908499728888,1,17.28
1.2656962058972567,1,17.37
1.2706392968539149,1,17.46
1.2756505669094622,1,17.55
1.2806471998337656,1,17.64
