iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3,dq0_dda_joint_linear_track,dq1_dda_joint_carriage,dq2_dda_joint_base,dq3_dda_joint_shoulder,dq4_dda_joint_elbow,dq5_dda_joint_wrist1,dq6_dda_joint_wrist2,dq7_dda_joint_wrist3
0,4.114482551489624,2.2223601531880224,2.773492570853709,6.71255,3.7499999999986655,2.697,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.228007289959625,1.134903283204094,1.8115391610104512,6.506305958844193,2.5957787602023945,2.4269708057603974,6.59,-0.35000000000000003,-0.6467000240026083,-0.6345206759439865,-0.06604181268712944,0.4627621983947461,-0.5023986728014521,0.5717748077916754,0.34999999999999964,-0.35000000000000003,-0.6467000240026083,-0.6345206759439865,-0.06604181268712944,0.4627621983947461,-0.5023986728014521,0.5717748077916754
2,1.2971459510470547,1.02733745517241,0.7584269039753248,7.028870870258736,2.4687658351050095,1.817169675372343,6.9399999999999995,-0.20648222877888736,-0.24482623785388918,-1.7335206759439865,0.8360241998187483,1.5617621983823702,-1.601398672801452,0.741954135227864,0.34999999999999964,0.14351777122111267,0.4018737861487191,-1.099,0.9020660125058777,1.098999999987624,-1.0989999999999998,0.17017932743618858
3,0.47212937040130265,0.45366879547866373,0.12969157302806358,6.443046117789384,2.1900700497286643,1.3389206558836544,6.59,-0.5564822287786264,-0.5087419454654105,-2.13120576938795,0.752104994121807,2.3508810991874816,-1.3143998157071657,1.134468445875812,-0.34999999999999964,-0.3499999999997391,-0.26391570761152133,-0.3976850934439633,-0.08391920569694133,0.7891189008051114,0.2869988570942863,0.39251431064794806
4,0.027182101642736614,0.024042860400707387,0.01268085520537475,6.223614197280784,1.905260313588887,1.5741757865950379,6.281555554007728,-0.7782411143893132,-0.39997621198562927,-1.8343242858044342,0.5861584657919922,2.3286279037525293,-1.3852220514956846,1.2130074292644528,-0.30844444599227216,-0.2217588856106868,0.10876573347978125,0.2968814835835156,-0.16594652832981482,-0.0222531954349523,-0.07082223578851887,0.07853898338864074
5,0.00012918897024974155,0.00012846880956017353,1.3621845790234911e-05,6.211258567128846,1.8903707967616947,1.5883119970201993,6.2718948416942,-0.794120117382502,-0.40391430397053113,-1.8207278208019706,0.5844790832422903,2.318984380458929,-1.3729973834636449,1.2162956428034344,-0.009660712313527497,-0.015879002993188784,-0.003938091984901859,0.013596465002463587,-0.0016793825497019021,-0.009643523293600076,0.012224668032039698,0.003288213538981566
6,1.7992420660544213e-09,1.792834711604572e-09,0.0,6.21130124123948,1.8902701871486582,1.5883795285405826,6.271913257272862,-0.794215751738001,-0.4038905684367041,-1.8206634691248345,0.5844689820606038,2.3189329301291335,-1.3730098779021904,1.2163039621040488,1.8415578662001053e-05,-9.56343554989747e-05,2.3735533827007327e-05,6.435167713614298e-05,-1.0101181686428262e-05,-5.145032979569919e-05,-1.2494438545562758e-05,8.319300614401115e-06
