elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_corrected_x_m,rb_corrected_y_m,rb_corrected_z_m,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
8.4955,0.131219,0.009518,1.30754,0.4761,8.3846,175.8034,-0.340992,2.110901,-0.248787,-0.050711,-0.014897,-0.060445,0.996771,-0.339006,2.133583,-0.236111,0.130619,0.000483,1.308687,2.432,9.1263
8.6502,0.134029,0.016896,1.3058,0.5527,8.2766,176.0145,-0.335668,2.109243,-0.243234,-0.054463,-0.01906,-0.056508,0.996733,-0.333961,2.132042,-0.230729,0.133404,0.00732,1.307171,0.659,9.6936
8.8014,0.137645,0.026661,1.303401,0.6542,8.1337,176.2935,-0.328963,2.106993,-0.235643,-0.048877,-0.017381,-0.053904,0.997198,-0.327338,2.129658,-0.222886,0.137764,0.01662,1.304816,1.518,10.1407
8.9526,0.141946,0.038712,1.300291,0.7794,7.9575,176.6374,-0.319962,2.103833,-0.226786,-0.04529,-0.011156,-0.057849,0.997235,-0.317999,2.126381,-0.21387,0.142055,0.028885,1.301588,2.859,9.9124
9.1044,0.146299,0.051453,1.296822,0.9118,7.7712,177.0005,-0.31018,2.100427,-0.217398,-0.044789,-0.00991,-0.058779,0.997216,-0.308143,2.122956,-0.204461,0.146487,0.041784,1.298216,4.565,9.7704
9.2476,0.149481,0.061151,1.294058,1.0128,7.6293,177.2768,-0.30278,2.097505,-0.210546,-0.043296,-0.005622,-0.059365,0.997281,-0.300601,2.119986,-0.197547,0.149616,0.051538,1.295286,5.239,9.6927
9.3887,0.151876,0.068693,1.291834,1.0913,7.519,177.4916,-0.29686,2.095133,-0.205117,-0.042353,-0.003096,-0.0601,0.997289,-0.294579,2.117582,-0.19208,0.152067,0.059304,1.292915,5.712,9.4538
9.5305,0.153545,0.074084,1.290204,1.1476,7.4402,177.6451,-0.292919,2.093538,-0.200843,-0.041149,-0.001401,-0.057256,0.99751,-0.290718,2.115965,-0.187756,0.154381,0.064624,1.291317,4.146,9.5617
9.6689,0.154515,0.077267,1.289226,1.1808,7.3936,177.7357,-0.290199,2.092454,-0.198938,-0.0409,0.000126,-0.059886,0.997367,-0.28784,2.11486,-0.185842,0.154916,0.068044,1.29023,2.589,9.2855
9.8115,0.154872,0.078447,1.288862,1.1929,7.3765,177.7689,-0.289206,2.092129,-0.197842,-0.042305,-0.00179,-0.059436,0.997334,-0.286918,2.114577,-0.184806,0.155473,0.069316,1.289952,3.597,9.2158
9.9569,0.155347,0.079789,1.288561,1.1919,7.3689,177.771,-0.288312,2.091719,-0.196793,-0.042113,-0.005624,-0.056799,0.997481,-0.286247,2.11418,-0.183742,0.156159,0.070371,1.289557,-0.858,9.5045
10.0952,0.15648,0.083007,1.287833,1.1895,7.3507,177.7761,-0.286189,2.091106,-0.194436,-0.041707,-0.004856,-0.05545,0.997578,-0.284162,2.113561,-0.181369,0.157446,0.073258,1.288948,2.714,9.8597
10.2336,0.158257,0.08812,1.286651,1.1856,7.3219,177.7842,-0.282145,2.090011,-0.190803,-0.040556,-0.002014,-0.057594,0.997514,-0.279947,2.112422,-0.177687,0.159032,0.07863,1.287832,0.537,9.5939
10.3732,0.160566,0.09488,1.285043,1.1805,7.2837,177.7949,-0.277207,2.08837,-0.185976,-0.042143,-0.003089,-0.056261,0.997521,-0.275095,2.11083,-0.17293,0.161328,0.085032,1.286265,6.513,9.9527
10.5101,0.162457,0.100518,1.283662,1.1761,7.2518,177.8038,-0.272569,2.086859,-0.181631,-0.0407,-0.001858,-0.05772,0.997501,-0.270361,2.109273,-0.168523,0.163356,0.09118,1.284734,1.863,9.4424
10.652,0.16372,0.104341,1.282706,1.1732,7.2301,177.8099,-0.269783,2.085773,-0.178855,-0.041368,-0.002365,-0.056248,0.997557,-0.267652,2.108212,-0.165776,0.164719,0.094793,1.283687,2.588,9.6509
10.7884,0.164304,0.106124,1.282254,1.1718,7.22,177.8127,-0.268161,2.085306,-0.177453,-0.039931,0.002357,-0.05849,0.997486,-0.265803,2.107689,-0.164318,0.165273,0.097084,1.283175,5.674,9.1378
10.9296,0.164536,0.106835,1.282073,1.1713,7.216,177.8139,-0.267809,2.08517,-0.177112,-0.040759,0.002026,-0.057163,0.997531,-0.265516,2.107581,-0.164014,0.16543,0.097472,1.283068,4.984,9.458
11.0726,0.165339,0.10931,1.281438,1.1693,7.2019,177.8179,-0.265966,2.084518,-0.175369,-0.039593,-0.001258,-0.057419,0.997564,-0.263756,2.106903,-0.162212,0.166331,0.099827,1.282399,5.656,9.5832
11.2183,0.166793,0.11384,1.280259,1.1656,7.1762,177.8252,-0.262456,2.083317,-0.172193,-0.041596,-0.001571,-0.057097,0.997501,-0.260266,2.105757,-0.159126,0.167677,0.104292,1.281273,1.687,9.6422
11.3708,0.169029,0.120935,1.278365,1.1599,7.1359,177.8367,-0.257228,2.081447,-0.167339,-0.041184,-0.003891,-0.057048,0.997514,-0.255105,2.10388,-0.154248,0.169953,0.111026,1.279423,3.937,10.0083
