elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_corrected_x_m,rb_corrected_y_m,rb_corrected_z_m,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
0.0003,0.007269,-0.256936,1.32996,0.7817,-0.0113,179.943,-0.539034,2.151158,-0.464295,0.384276,-0.388842,-0.837296,-0.008309,-0.529532,2.158203,-0.457617,0.00717,-0.262377,1.33118,-0.885,5.577
0.1998,0.007612,-0.256283,1.330071,0.728,0.0088,179.9327,-0.53865,2.151195,-0.463863,0.384137,-0.389148,-0.837233,-0.006623,-0.529156,2.158276,-0.457212,0.007378,-0.261865,1.331256,0.922,5.7116
0.4208,0.008924,-0.253788,1.330482,0.5224,0.0855,179.8931,-0.536933,2.151534,-0.461411,0.38605,-0.38984,-0.836025,-0.007239,-0.527469,2.158625,-0.454729,0.008916,-0.259289,1.331619,4.101,5.6163
0.5824,0.010513,-0.250761,1.330962,0.2724,0.178,179.8447,-0.53494,2.151845,-0.458718,0.387648,-0.390591,-0.834952,-0.004843,-0.525519,2.159007,-0.452049,0.010521,-0.256391,1.332018,-0.905,5.728
0.7502,0.012684,-0.246615,1.331583,-0.0708,0.3037,179.7777,-0.531964,2.152336,-0.454791,0.38913,-0.391478,-0.833855,-0.002871,-0.522583,2.159558,-0.448133,0.012829,-0.252078,1.332596,0.928,5.5576
0.916,0.015395,-0.241417,1.332303,-0.5027,0.4597,179.6927,-0.528509,2.153037,-0.450093,0.388512,-0.393108,-0.833381,0.000919,-0.519137,2.160342,-0.443512,0.015561,-0.247007,1.33341,0.871,5.701
1.0734,0.018008,-0.236389,1.332937,-0.922,0.609,179.6094,-0.524913,2.153598,-0.446024,0.391739,-0.39361,-0.831623,0.003932,-0.515622,2.161,-0.439436,0.01777,-0.242104,1.334101,8.55,5.8369
1.2348,0.020137,-0.232279,1.33341,-1.266,0.7298,179.5406,-0.522034,2.153969,-0.441868,0.392804,-0.394779,-0.83055,0.006414,-0.512778,2.16144,-0.435309,0.020307,-0.237784,1.334565,2.715,5.6274
1.4034,0.021836,-0.228991,1.333758,-1.542,0.8256,179.485,-0.519671,2.154236,-0.439087,0.393757,-0.395695,-0.829634,0.009379,-0.510452,2.161783,-0.432562,0.021813,-0.234518,1.334929,4.062,5.6494
1.5647,0.02292,-0.226888,1.333967,-1.7189,0.8866,179.4491,-0.518229,2.154306,-0.436971,0.393396,-0.395403,-0.829925,0.010949,-0.509016,2.16188,-0.43047,0.0231,-0.232331,1.335038,-0.84,5.5504
1.7329,0.023494,-0.225773,1.334073,-1.8127,0.9187,179.4301,-0.517437,2.154402,-0.435962,0.394266,-0.395607,-0.829395,0.012407,-0.508251,2.162015,-0.429468,0.023685,-0.231215,1.33518,0.944,5.5565
1.9094,0.02383,-0.225017,1.334161,-1.8367,0.9358,179.4011,-0.516915,2.154511,-0.43524,0.394404,-0.395824,-0.829231,0.012012,-0.507728,2.162119,-0.428742,0.024122,-0.230435,1.335289,2.095,5.5417
2.079,0.024968,-0.222346,1.334482,-1.882,0.9912,179.2825,-0.515195,2.154776,-0.433236,0.394855,-0.396869,-0.828501,0.013066,-0.506021,2.162416,-0.426757,0.0252,-0.228051,1.335601,4.969,5.8178
2.248,0.027004,-0.217598,1.335026,-1.9627,1.0896,179.0712,-0.511586,2.155409,-0.429388,0.397046,-0.397121,-0.827357,0.011413,-0.502441,2.163038,-0.422855,0.027223,-0.223162,1.336258,-0.882,5.7027
2.4149,0.029957,-0.210766,1.335754,-2.0794,1.2308,178.7662,-0.506897,2.155958,-0.424275,0.398543,-0.399023,-0.825726,0.011008,-0.497772,2.163605,-0.417735,0.029888,-0.21677,1.33687,6.915,6.1075
2.5665,0.033388,-0.202917,1.336507,-2.2143,1.3924,178.4141,-0.501029,2.156497,-0.417649,0.402416,-0.399599,-0.823578,0.010098,-0.491971,2.164167,-0.411043,0.033497,-0.208686,1.337486,0.865,5.8525
2.7261,0.037891,-0.192749,1.337351,-2.3903,1.6011,177.9553,-0.493785,2.157365,-0.409347,0.406332,-0.400727,-0.821106,0.009901,-0.484799,2.165076,-0.402691,0.038032,-0.198661,1.338462,1.966,6.0176
2.891,0.042556,-0.182374,1.338057,-2.5714,1.813,177.484,-0.486063,2.157976,-0.400677,0.40945,-0.403367,-0.818268,0.009123,-0.477125,2.165719,-0.393994,0.042664,-0.188032,1.339178,0.785,5.7694
3.0498,0.046286,-0.174189,1.338503,-2.7154,1.9795,177.1098,-0.48011,2.158233,-0.393763,0.412847,-0.404415,-0.816044,0.008859,-0.471234,2.166011,-0.387037,0.046473,-0.179752,1.339525,0.901,5.659
3.2123,0.049215,-0.167831,1.338781,-2.828,2.1084,176.8176,-0.475577,2.15851,-0.388551,0.414472,-0.405054,-0.814902,0.008892,-0.466732,2.166309,-0.381809,0.049305,-0.173462,1.339865,4.715,5.7349
3.3707,0.051253,-0.16344,1.338938,-2.9061,2.1973,176.615,-0.472344,2.158618,-0.384717,0.416214,-0.405866,-0.81361,0.008861,-0.463531,2.166439,-0.377958,0.051438,-0.168934,1.340024,5.027,5.6031
3.5364,0.052451,-0.160873,1.339017,-2.9519,2.2491,176.4962,-0.470428,2.15879,-0.382366,0.416934,-0.406941,-0.812701,0.009118,-0.461628,2.166629,-0.375613,0.052758,-0.166218,1.340233,0.926,5.4898
3.7,0.052863,-0.159968,1.339006,-2.9531,2.2681,176.4618,-0.469794,2.158769,-0.38162,0.418137,-0.406294,-0.812412,0.008551,-0.461016,2.166606,-0.374834,0.053204,-0.165333,1.340214,0.991,5.51
3.8604,0.053868,-0.157613,1.338742,-2.8578,2.3226,176.4217,-0.46814,2.158432,-0.379834,0.417097,-0.406941,-0.812633,0.007521,-0.459332,2.166242,-0.373057,0.054097,-0.163051,1.339867,2.469,5.5584
4.0221,0.055962,-0.152725,1.338168,-2.6595,2.436,176.3391,-0.464756,2.157896,-0.376156,0.41606,-0.408244,-0.812517,0.006868,-0.455917,2.165691,-0.369401,0.055958,-0.158404,1.339349,6.931,5.8002
4.1917,0.059334,-0.144908,1.337184,-2.3413,2.6183,176.2087,-0.459194,2.156913,-0.369647,0.41699,-0.40908,-0.811646,0.001812,-0.450335,2.16462,-0.362818,0.059547,-0.150548,1.338331,-1.747,5.759
4.3644,0.063991,-0.134228,1.335704,-1.9043,2.8693,176.0341,-0.451438,2.155575,-0.360841,0.417017,-0.410216,-0.811058,-0.002268,-0.442548,2.163209,-0.35397,0.064252,-0.139731,1.336993,-1.148,5.6582
4.5228,0.069391,-0.122,1.333816,-1.4005,3.1593,175.8395,-0.443368,2.15385,-0.351339,0.416362,-0.412528,-0.810192,-0.007239,-0.434424,2.161392,-0.344437,0.06943,-0.128315,1.335252,6.795,6.4766
4.6683,0.075116,-0.109221,1.331618,-0.8698,3.4655,175.6421,-0.433865,2.15172,-0.340525,0.415405,-0.414812,-0.809468,-0.011416,-0.424867,2.159183,-0.333607,0.075173,-0.115047,1.333134,2.357,6.0203
4.8155,0.080185,-0.098057,1.329506,-0.4024,3.7357,175.4747,-0.42591,2.149528,-0.331007,0.41501,-0.416951,-0.80848,-0.016662,-0.416864,2.156894,-0.324048,0.080423,-0.103724,1.33092,-1.165,5.8455
4.9722,0.084676,-0.088283,1.327509,0.0097,3.9742,175.3321,-0.41926,2.147699,-0.323015,0.414423,-0.418533,-0.807867,-0.020851,-0.410172,2.154984,-0.316025,0.084839,-0.094245,1.329072,6.128,6.1656
5.1214,0.08793,-0.081269,1.32599,0.3072,4.1466,175.232,-0.413963,2.146139,-0.316706,0.41462,-0.41965,-0.807101,-0.023916,-0.404858,2.153372,-0.309684,0.088319,-0.086728,1.327509,6.022,5.6795
5.2738,0.090299,-0.076196,1.324844,0.5234,4.2719,175.1609,-0.410462,2.145011,-0.312383,0.413621,-0.420245,-0.807273,-0.02492,-0.401328,2.152216,-0.30537,0.090722,-0.081691,1.326385,8.212,5.7228
5.4248,0.091676,-0.073261,1.324164,0.6488,4.3446,175.1202,-0.408065,2.144252,-0.309747,0.413433,-0.421267,-0.806796,-0.026215,-0.398917,2.151435,-0.30273,0.092085,-0.07838,1.325628,0.849,5.3399
5.5801,0.092129,-0.072315,1.323946,0.6833,4.3765,175.11,-0.40752,2.143954,-0.309029,0.413703,-0.420907,-0.806773,-0.028352,-0.398367,2.151094,-0.301975,0.092534,-0.077558,1.325292,3.507,5.4286
5.738,0.092979,-0.070737,1.323616,0.674,4.5232,175.1241,-0.406526,2.143691,-0.30757,0.413373,-0.422377,-0.806226,-0.026826,-0.39737,2.150868,-0.300558,0.093393,-0.076053,1.325075,5.762,5.5275
5.883,0.094623,-0.067663,1.322963,0.6557,4.809,175.1514,-0.40448,2.142981,-0.30466,0.412364,-0.425406,-0.805178,-0.025963,-0.395298,2.150185,-0.297709,0.095089,-0.072962,1.324409,0.855,5.5124
6.0332,0.097112,-0.062959,1.321937,0.6276,5.246,175.1928,-0.401285,2.142045,-0.300198,0.412186,-0.427904,-0.803893,-0.027496,-0.392082,2.149232,-0.293258,0.097752,-0.068153,1.323484,0.866,5.457
6.1921,0.100696,-0.056076,1.320379,0.5865,5.8851,175.2526,-0.396814,2.14037,-0.294177,0.410699,-0.433004,-0.801929,-0.027257,-0.387565,2.147578,-0.28732,0.101203,-0.061529,1.32187,1.415,5.6758
6.3544,0.105172,-0.047285,1.31829,0.5338,6.7005,175.3276,-0.391029,2.138362,-0.286552,0.407571,-0.439158,-0.800275,-0.02421,-0.381713,2.145635,-0.279855,0.10547,-0.053046,1.319981,5.554,6.0112
6.5081,0.109013,-0.039564,1.316364,0.4874,7.4162,175.3922,-0.385427,2.136249,-0.279446,0.405521,-0.44543,-0.797836,-0.024564,-0.376048,2.143529,-0.272847,0.1094,-0.044923,1.317927,0.854,5.5956
6.6622,0.111933,-0.033573,1.31481,0.4512,7.9714,175.4415,-0.381422,2.134672,-0.273967,0.405217,-0.449826,-0.795527,-0.024334,-0.372023,2.141979,-0.267427,0.112592,-0.038965,1.316413,0.883,5.6629
6.8212,0.114021,-0.029226,1.31365,0.4249,8.3742,175.4769,-0.378289,2.13336,-0.270257,0.403689,-0.452704,-0.794667,-0.02448,-0.368849,2.140663,-0.263771,0.114549,-0.034528,1.315126,5.51,5.5288
6.9855,0.115251,-0.026639,1.312948,0.4092,8.6138,175.4978,-0.376443,2.132637,-0.267629,0.403589,-0.455146,-0.793358,-0.023291,-0.367,2.139977,-0.261189,0.116098,-0.031752,1.314456,3.03,5.3977
7.1428,0.115618,-0.025862,1.312754,0.4052,8.6739,175.5034,-0.376,2.13249,-0.267118,0.403161,-0.455526,-0.793373,-0.02274,-0.366551,2.139838,-0.260698,0.116352,-0.031135,1.314322,10.679,5.5503
7.3087,0.116626,-0.02371,1.312514,0.4047,8.66,175.5103,-0.374449,2.132228,-0.265113,0.404181,-0.455076,-0.793061,-0.024451,-0.365011,2.139551,-0.258647,0.117555,-0.028868,1.314048,1.587,5.4611
7.4737,0.118916,-0.018783,1.311945,0.4037,8.6281,175.5259,-0.370835,2.131664,-0.261129,0.403719,-0.454799,-0.793493,-0.023191,-0.361396,2.139005,-0.254685,0.119607,-0.02391,1.313537,-1.196,5.413
7.6387,0.12238,-0.011215,1.311017,0.4022,8.5791,175.5499,-0.365815,2.130709,-0.255222,0.403895,-0.454507,-0.793538,-0.024284,-0.356374,2.138029,-0.248756,0.122843,-0.01684,1.312608,5.871,5.864
7.7926,0.125434,-0.004428,1.310128,0.4009,8.5352,175.5714,-0.360731,2.129632,-0.248961,0.403244,-0.454246,-0.794056,-0.023021,-0.351286,2.136968,-0.242521,0.126327,-0.009578,1.311594,0.858,5.4289
7.9512,0.127426,6.1e-05,1.309511,0.4,8.5061,175.5856,-0.357454,2.129048,-0.24525,0.403129,-0.454183,-0.794158,-0.022757,-0.348009,2.136387,-0.238814,0.128291,-0.005033,1.311044,2.203,5.3899
8.116,0.128313,0.002076,1.309227,0.3995,8.4931,175.592,-0.355971,2.128802,-0.243331,0.40432,-0.453671,-0.793814,-0.02381,-0.346545,2.136131,-0.236856,0.129442,-0.002875,1.310801,-0.931,5.316
8.2744,0.12879,0.003277,1.308964,0.4113,8.4761,175.6246,-0.355299,2.128579,-0.242639,0.403033,-0.453774,-0.794432,-0.023041,-0.345852,2.135909,-0.236196,0.129745,-0.001965,1.310586,8.689,5.5698
8.4342,0.130271,0.007066,1.308105,0.4506,8.4206,175.7332,-0.352298,2.127652,-0.239799,0.402693,-0.453026,-0.79502,-0.023432,-0.342844,2.134967,-0.233346,0.131045,0.001976,1.309674,2.023,5.3823
8.5971,0.132866,0.01382,1.306533,0.5208,8.3216,175.9265,-0.347713,2.126133,-0.234726,0.402078,-0.452713,-0.795496,-0.023857,-0.338246,2.133431,-0.228273,0.133679,0.008307,1.308182,4.909,5.8115
8.7593,0.136418,0.023311,1.304236,0.6194,8.1827,176.1978,-0.340724,2.12385,-0.227611,0.399352,-0.451648,-0.797512,-0.022507,-0.331216,2.131136,-0.221207,0.137083,0.017692,1.305957,0.966,5.9147
8.9449,0.141516,0.037486,1.300615,0.7666,7.9754,176.6024,-0.330353,2.120214,-0.217161,0.396368,-0.449112,-0.80046,-0.02134,-0.320803,2.127476,-0.21079,0.142077,0.031575,1.3024,3.977,6.1998
9.1011,0.146044,0.050688,1.297036,0.9039,7.7823,176.9788,-0.319838,2.116547,-0.206659,0.395954,-0.447653,-0.801392,-0.02447,-0.310267,2.123732,-0.200233,0.147145,0.04563,1.298761,1.723,5.4574
9.2555,0.149558,0.061393,1.293987,1.0153,7.6258,177.2837,-0.312013,2.113482,-0.199207,0.392255,-0.447496,-0.803371,-0.021872,-0.302387,2.120676,-0.192875,0.150447,0.055916,1.295785,6.789,5.8323
