frame,x_m,y_m,z_m,qx,qy,qz,qw
0,1.2594465017318726,1.0069202184677124,-0.32125595211982727,0.00031502387719228864,-0.08758567273616791,-0.0012799865799024701,0.9961561560630798
1,1.2594422101974487,1.0068976879119873,-0.3212619721889496,0.00012360047549009323,-0.08739537745714188,-0.0009602311183698475,0.9961732029914856
2,1.2594537734985352,1.0069252252578735,-0.3212622106075287,0.0003209693531971425,-0.08770006895065308,-0.00128176377620548,0.9961460828781128
3,1.259459376335144,1.0069371461868286,-0.3212696611881256,0.00037587498081848025,-0.08762351423501968,-0.00136698002461344,0.9961526989936829
4,1.2594584226608276,1.0069400072097778,-0.321270227432251,0.00042934640077874064,-0.08766569197177887,-0.0012402812717482448,0.9961491823196411
5,1.2594681978225708,1.006927251815796,-0.32127565145492554,0.0004438083851709962,-0.08765657991170883,-0.0012373439967632294,0.9961498975753784
6,1.2594683170318604,1.0069243907928467,-0.32127705216407776,0.0003972489503212273,-0.0876748263835907,-0.0011857589706778526,0.9961483478546143
7,1.2594592571258545,1.00692880153656,-0.32126885652542114,0.0003838468110188842,-0.08773147314786911,-0.001274307374842465,0.9961432814598083
8,1.25947105884552,1.00692880153656,-0.32127490639686584,0.000338586512953043,-0.08761380612850189,-0.0011741260532289743,0.9961537718772888
9,1.2594701051712036,1.0069411993026733,-0.32127025723457336,0.00038321243482641876,-0.08772491663694382,-0.0012125344946980476,0.9961439371109009
10,1.2594765424728394,1.006943702697754,-0.32126685976982117,0.00032001404906623065,-0.08764474838972092,-0.0012118438025936484,0.9961510896682739
11,1.2594635486602783,1.0069369077682495,-0.32127153873443604,0.000348724948707968,-0.08764606714248657,-0.0011401885421946645,0.9961509704589844
12,1.2594795227050781,1.0069442987442017,-0.3212699890136719,0.0003101428155787289,-0.08756846189498901,-0.00124835385940969,0.996157705783844
13,1.259485125541687,1.0069488286972046,-0.32126474380493164,0.0002838477957993746,-0.08751633018255234,-0.0013042408972978592,0.9961621761322021
14,1.2594754695892334,1.0069446563720703,-0.32126960158348083,0.00036494911182671785,-0.08769451826810837,-0.00116230477578938,0.9961466789245605
15,1.2594817876815796,1.0069326162338257,-0.32127586007118225,0.000368481851182878,-0.08765380084514618,-0.0012081715976819396,0.9961502552032471
16,1.2594867944717407,1.0069291591644287,-0.321275532245636,0.00039040486444719136,-0.08749862760305405,-0.0012581596383824944,0.9961638450622559
17,1.2594506740570068,1.0069005489349365,-0.32126328349113464,8.393456664634869e-05,-0.08732128888368607,-0.0009103386546485126,0.9961798191070557
18,1.2594540119171143,1.0069191455841064,-0.3212510049343109,0.00032963906414806843,-0.08767951279878616,-0.0012397175887599587,0.9961479902267456
19,1.259445309638977,1.0068912506103516,-0.32126227021217346,0.00013106779078952968,-0.08737082034349442,-0.0010509057901799679,0.9961752891540527
20,1.2594501972198486,1.0069180727005005,-0.32126814126968384,0.0002350185386603698,-0.08753534406423569,-0.0009582247585058212,0.9961609840393066
21,1.2594534158706665,1.0069140195846558,-0.32124191522598267,0.00031826322083361447,-0.08755713701248169,-0.0013214315986260772,0.9961585402488708
22,1.259440302848816,1.0068950653076172,-0.3212524354457855,8.886096475180238e-05,-0.08730995655059814,-0.0010097060585394502,0.9961807727813721
23,1.2594704627990723,1.0069259405136108,-0.3212534189224243,0.00029845224344171584,-0.08758442103862762,-0.0012853519292548299,0.9961562752723694
24,1.25947105884552,1.006919264793396,-0.3212601840496063,0.000391026318538934,-0.08757992088794708,-0.0012860720744356513,0.996156632900238
25,1.25945246219635,1.0068981647491455,-0.3212661147117615,0.00013762783783022314,-0.08746037632226944,-0.0008996825781650841,0.9961676001548767
26,1.2594740390777588,1.0069129467010498,-0.3212648332118988,0.00033215887378901243,-0.0876876562833786,-0.0011302042985334992,0.9961473941802979
27,1.2594772577285767,1.0069270133972168,-0.32124024629592896,0.00033827335573732853,-0.08754553645849228,-0.001214852905832231,0.9961597919464111
28,1.2594927549362183,1.0069310665130615,-0.3212680518627167,0.0003789852198679,-0.08738966286182404,-0.001316724345088005,0.9961733222007751
29,1.2594822645187378,1.006934642791748,-0.3212609887123108,0.00035188710899092257,-0.0876007229089737,-0.0012010112404823303,0.9961549639701843
30,1.259473443031311,1.0069283246994019,-0.3212663233280182,0.0004084309039171785,-0.08759023249149323,-0.0013184433337301016,0.9961556792259216
31,1.2594631910324097,1.0069177150726318,-0.3212573528289795,0.0004221400886308402,-0.08764459192752838,-0.0012717150384560227,0.9961509704589844
32,1.2594660520553589,1.0069149732589722,-0.321256548166275,0.0003726854338310659,-0.08762088418006897,-0.001323755830526352,0.996152937412262
33,1.2594777345657349,1.0069153308868408,-0.32126113772392273,0.00039037439273670316,-0.0875914916396141,-0.0012808794854208827,0.9961555600166321
