elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
44.2836,0.064127,0.766135,0.583933,0.687,1.4106,178.18,0.36383,1.380616,0.01311,0.009845,0.028309,0.009143,-0.999509,0.056965,0.75406,0.579441,3.663,14.7396
44.4014,0.061885,0.766023,0.580748,0.662,1.3497,178.2431,0.364454,1.377609,0.01116,0.009954,0.030378,0.007557,-0.99946,0.054849,0.753769,0.576497,7.607,14.7559
44.5304,0.05885,0.765832,0.576435,0.6281,1.267,178.3287,0.365707,1.373053,0.008273,0.009955,0.030262,0.006529,-0.999471,0.051563,0.753632,0.572042,1.455,14.8739
44.6496,0.056615,0.765662,0.573261,0.6031,1.2058,178.392,0.366428,1.369911,0.006007,0.008964,0.029044,0.006555,-0.999516,0.049118,0.753285,0.568972,5.092,15.093
44.7679,0.05505,0.765529,0.571037,0.5855,1.1628,178.4364,0.366861,1.367389,0.004469,0.011088,0.031981,0.005009,-0.999415,0.04747,0.753004,0.566498,-1.248,15.3269
44.8823,0.054169,0.765448,0.569787,0.5757,1.1386,178.4614,0.367081,1.366252,0.003729,0.008229,0.028097,0.003689,-0.999565,0.046675,0.752879,0.565385,4.282,15.2819
44.9959,0.05388,0.765421,0.569376,0.5724,1.1306,178.4696,0.367326,1.365895,0.003282,0.00837,0.026863,0.005151,-0.999591,0.046154,0.752899,0.565044,2.097,15.3379
45.1052,0.053414,0.765376,0.568715,0.5672,1.1178,178.4829,0.367569,1.365159,0.002926,0.010967,0.034254,0.004598,-0.999343,0.045703,0.752963,0.564322,2.868,15.2588
45.2266,0.052248,0.765259,0.567061,0.5542,1.0858,178.5161,0.367687,1.363699,0.001932,0.008219,0.026655,0.0059,-0.999594,0.044717,0.752636,0.562889,6.59,15.2804
45.3531,0.050288,0.765048,0.56428,0.5324,1.0318,178.572,0.368457,1.360792,5.8e-05,0.009166,0.02944,0.00519,-0.999511,0.042606,0.752507,0.560047,0.757,15.304
45.4624,0.047965,0.764773,0.560984,0.5065,0.9674,178.6384,0.369106,1.357609,-0.002037,0.008546,0.027366,0.005621,-0.999573,0.040342,0.752175,0.556931,1.462,15.2719
45.5834,0.045259,0.764418,0.557145,0.4762,0.8922,178.7161,0.36996,1.353794,-0.004706,0.008784,0.028717,0.00515,-0.999536,0.037456,0.751771,0.553201,4.967,15.3746
45.7098,0.043111,0.76411,0.554097,0.4521,0.8322,178.778,0.370258,1.350737,-0.006727,0.007407,0.025557,0.002292,-0.999643,0.035422,0.751158,0.550201,4.248,15.5575
45.8331,0.041787,0.763908,0.552218,0.4373,0.7951,178.8163,0.370658,1.348809,-0.008205,0.007123,0.026129,0.003066,-0.999629,0.033862,0.750869,0.548318,5.92,15.7494
45.9774,0.041128,0.763804,0.551282,0.4299,0.7766,178.8353,0.370993,1.347785,-0.008845,0.006672,0.026945,0.003555,-0.999608,0.033108,0.750889,0.547317,8.213,15.7116
46.0998,0.040766,0.763747,0.550768,0.4258,0.7664,178.8458,0.370959,1.347269,-0.009179,0.008144,0.028723,0.00247,-0.999551,0.032809,0.750713,0.546809,5.825,15.7754
46.2289,0.039627,0.76356,0.549152,0.4129,0.7343,178.8789,0.371137,1.345811,-0.01026,0.006798,0.025927,0.001262,-0.99964,0.031718,0.7504,0.545381,1.971,15.8103
46.3335,0.038147,0.763308,0.54705,0.3961,0.6924,178.9219,0.371526,1.34379,-0.011608,0.005498,0.023028,0.002859,-0.999716,0.030276,0.75016,0.543402,5.995,15.7528
46.4441,0.036034,0.762929,0.544049,0.3721,0.6325,178.9836,0.371977,1.34072,-0.0137,0.007676,0.029423,0.00022,-0.999538,0.028109,0.749651,0.540393,-0.65,15.8898
46.547,0.03364,0.762471,0.540647,0.3449,0.5642,179.0536,0.372642,1.337337,-0.016087,0.00554,0.022171,0.001251,-0.999738,0.025573,0.749202,0.537084,3.111,15.9329
46.6536,0.031586,0.762055,0.537728,0.3214,0.5053,179.114,0.373157,1.334358,-0.01812,0.005309,0.025343,0.000626,-0.999665,0.023433,0.748775,0.534167,0.807,15.9844
46.7657,0.029988,0.761716,0.535455,0.3032,0.4593,179.1611,0.373608,1.331987,-0.0198,0.006022,0.025463,0.000903,-0.999657,0.021655,0.748445,0.531848,4.651,16.0801
46.8849,0.028936,0.761486,0.533959,0.2911,0.429,179.1922,0.373729,1.330489,-0.020894,0.005897,0.025717,7.7e-05,-0.999652,0.020578,0.748075,0.530379,-0.931,16.2021
47.002,0.028529,0.761395,0.53338,0.2865,0.4172,179.2043,0.373817,1.329922,-0.021297,0.005165,0.02511,-0.00032,-0.999671,0.02016,0.747977,0.529824,8.005,16.2083
