elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
0.0008,0.007269,-0.256936,1.32996,0.7817,-0.0113,179.943,-0.529326,2.137133,-0.477466,-0.013095,-0.021265,0.029159,-0.999263,0.048208,-0.273382,1.324421,-1.254,44.4654
0.2105,0.007691,-0.256133,1.330096,0.7157,0.0134,179.9303,-0.528886,2.137199,-0.476981,-0.011502,-0.020554,0.028387,-0.99932,0.048443,-0.272771,1.324487,0.344,44.3728
0.3825,0.008703,-0.254209,1.330414,0.5571,0.0725,179.8998,-0.5276,2.137465,-0.47511,-0.009071,-0.012958,0.024716,-0.999569,0.049536,-0.27078,1.324742,5.219,44.4308
0.5422,0.010179,-0.251398,1.330863,0.325,0.1586,179.8549,-0.525914,2.137806,-0.472826,-0.004977,-0.014059,0.020824,-0.999672,0.050819,-0.268247,1.325072,6.947,44.3737
0.6863,0.011945,-0.248027,1.331376,0.0462,0.261,179.8006,-0.523228,2.138108,-0.469438,-0.008155,-0.018805,0.022339,-0.99954,0.052633,-0.264321,1.325363,0.824,44.2397
0.8422,0.014286,-0.243546,1.332016,-0.3257,0.3961,179.7276,-0.519887,2.138584,-0.464976,-0.00431,-0.015362,0.022013,-0.99963,0.055112,-0.259327,1.32582,-0.779,44.2062
0.9893,0.016848,-0.238624,1.332663,-0.7354,0.5429,179.6466,-0.516427,2.139084,-0.460591,-0.002577,-0.011044,0.018425,-0.999766,0.05747,-0.254261,1.326305,3.943,43.99
1.1329,0.019003,-0.23447,1.333163,-1.0825,0.6656,179.5773,-0.513324,2.139578,-0.456892,-0.001633,-0.018119,0.019279,-0.999649,0.059378,-0.249826,1.326791,2.207,43.6635
1.2747,0.020697,-0.231197,1.333527,-1.3567,0.7614,179.5223,-0.510991,2.139813,-0.454013,-9.4e-05,-0.019594,0.017837,-0.999649,0.060896,-0.246444,1.327018,5.715,43.4833
1.4199,0.022045,-0.228586,1.333799,-1.576,0.8374,179.4781,-0.509499,2.140009,-0.451507,0.003715,-0.008563,0.006319,-0.999936,0.06246,-0.243981,1.327194,0.553,43.7498
1.5623,0.02295,-0.226829,1.333973,-1.7238,0.8883,179.4482,-0.507864,2.140185,-0.449669,0.00256,-0.013413,0.010444,-0.999852,0.063364,-0.241693,1.327367,1.888,43.5642
1.7042,0.023458,-0.225843,1.334067,-1.8068,0.9167,179.4313,-0.50711,2.140217,-0.44863,0.002855,-0.015255,0.011044,-0.999819,0.063949,-0.24055,1.327395,1.511,43.5934
1.8481,0.02367,-0.225393,1.334115,-1.8303,0.928,179.4177,-0.506868,2.140237,-0.448382,0.002346,-0.016138,0.011741,-0.999798,0.064062,-0.240223,1.327415,4.527,43.547
2.0038,0.024417,-0.223639,1.334328,-1.86,0.9644,179.3399,-0.505527,2.140359,-0.447069,0.005185,-0.012485,0.011666,-0.999841,0.064628,-0.238434,1.32754,1.334,43.3815
2.1585,0.025945,-0.220063,1.334747,-1.9208,1.0385,179.181,-0.503153,2.140598,-0.444264,0.006448,-0.007862,0.009748,-0.999901,0.066062,-0.235049,1.327774,6.095,43.3881
2.3154,0.02826,-0.214684,1.335344,-2.0124,1.1499,178.9413,-0.498972,2.141295,-0.439839,0.008718,-0.00408,0.010207,-0.999902,0.068135,-0.229326,1.328473,5.117,43.0305
2.4525,0.030973,-0.208433,1.335987,-2.1194,1.2789,178.6617,-0.494079,2.141744,-0.434524,0.009095,-0.000408,0.012175,-0.999884,0.070672,-0.222562,1.328922,-0.643,42.7264
2.5927,0.034377,-0.200669,1.336706,-2.2531,1.4386,178.313,-0.489114,2.142335,-0.428847,0.009876,0.001672,0.008662,-0.999912,0.073503,-0.215571,1.329506,7.044,42.4815
