iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,extend,random,0,1,0.0017073999988497235,0.001516500000434462,0.001516500000434462,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.473001, -0.907069, -2.088651, 1.105805, 0.499926, 0.312687, -1.008797, -0.558522]",0.8333333333333334,extend_edge_collision,,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.525555, -0.888483, -2.083915, 1.104453, 0.474248, 0.313887, -1.026471, -0.529153]","[7.59742, 0.55157, -1.716936, 0.999685, -1.515275, 0.406903, -2.395875, 1.746352]"
1,add_node,random,0,2,0.0041331999982503476,,,True,False,,,,best_parent=0,0.07999999999999999,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.491444, -0.978006, -1.795073, 1.043592, 0.470763, 0.299029, -0.678395, -0.611604]","[5.84396, -0.794008, 0.859008, 0.466583, -0.84727, 0.234991, 1.346338, 0.172783]"
2,add_node,random,1,3,0.006229399999938323,,,True,False,,,,best_parent=0,0.1368197023129246,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.367528, -0.874112, -1.612164, 0.946864, 0.261943, 0.417746, -0.670922, -0.422629]","[1.8238, 0.420183, 0.666503, -0.258157, -2.339515, 1.8967, -0.577826, 1.931598]"
3,add_node,goal_bias,2,4,0.007489099998565507,,,True,False,,,,best_parent=0,0.16296016844858804,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.333767, -0.902555, -1.725888, 0.974347, 0.297968, 0.233629, -0.311175, -0.166884]","[3.218105, -1.0, -2.115501, 1.0685, 0.421391, -0.397142, 0.921296, 0.709281]"
4,add_node,random,2,5,0.009092099999179482,,,True,False,,,,best_parent=0,0.1616910080829921,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.197058, -0.794175, -1.481791, 1.003058, 0.416985, 0.109838, -0.84128, -0.367689]","[1.509531, -0.002856, -0.191201, 1.559335, 1.95179, -2.938226, -2.5277, 0.176178]"
5,add_node,random,4,6,0.013768699998763623,,,True,False,,,,best_parent=0,0.21815427156049455,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[2.995283, -0.66995, -1.466911, 0.9648, 0.592032, -0.067168, -0.770823, -0.290852]","[0.455803, 0.893505, -1.279632, 0.483294, 2.795123, -2.294903, 0.11593, 0.676195]"
6,add_node,random,5,7,0.018836999999621185,,,True,False,,,,best_parent=0,0.2594163889695395,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.161696, -0.602443, -1.432688, 1.112341, 0.448262, 0.037349, -0.969059, 0.019218]","[4.559911, -0.035245, -1.145147, 2.351995, -0.759701, 0.915508, -2.634648, 2.624443]"
7,add_node,random,6,8,0.02623689999927592,,,True,False,,,,best_parent=0,0.30579156380449296,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.201652, -0.549042, -1.218114, 1.131178, 0.636443, 0.240762, -0.716132, 0.20928]","[3.729318, 0.156179, 1.615594, 1.379944, 3.121586, 2.927074, 2.624058, 2.719274]"
8,add_node,random,7,9,0.03203639999992447,,,True,False,,,,best_parent=0,0.3280078903674635,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.415158, -0.558493, -0.930575, 0.842647, 0.848962, 0.157689, -0.727542, 0.141503]","[5.053767, -0.631022, 1.276219, -1.371765, 2.479993, -0.479875, -0.815104, -0.378667]"
9,add_node,goal_bias,3,10,0.040459899999405025,,,True,False,,,,best_parent=0,0.2172381229448162,"[3.210231, -1.0, -2.112334, 1.112566, 0.628316, 0.306684, -0.920425, -0.705367]","[3.300006, -0.930998, -1.839613, 1.001829, 0.333994, 0.049513, 0.048572, 0.088861]","[3.218105, -1.0, -2.115501, 1.0685, 0.421391, -0.397142, 0.921296, 0.709281]"
