iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.07999999999999997,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.391495, 0.049169, -0.009486, -0.235832, -0.224775, 0.048747, 0.15095, -0.017948]","[5.138576, 0.645374, -0.124504, -3.095427, -2.950295, 0.639834, 1.981303, -0.23558]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.13969753908273164,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.852417, -0.004088, -0.002725, -0.211304, -0.397987, 0.221744, 0.148335, -0.190007]","[7.500951, -0.772298, 0.0948, 0.142505, -2.89646, 2.71712, 0.110606, -2.671859]"
2,add_node,random,0,4,True,False,,,,best_parent=0,0.07999999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.048635, 0.058276, -0.190177, 0.229435, 0.115444, -0.294971, -0.129934, 0.106778]","[0.428673, 0.513645, -1.676224, 2.022252, 1.017526, -2.599883, -1.145245, 0.941148]"
3,add_node,random,2,5,True,False,,,,best_parent=0,0.16140941618093893,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.925638, -0.055905, -0.141813, -0.427701, -0.346702, 0.334556, -0.036479, 0.136886]","[1.569645, -0.511653, -1.365149, -2.331001, 0.104361, 1.326778, -1.661984, 3.012039]"
4,add_node,random,2,6,True,False,,,,best_parent=0,0.1905877204404097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.278151, 0.048147, 0.105394, -0.072949, -0.468955, 0.058054, 0.022609, -0.370281]","[7.482146, 0.809338, 1.680943, 1.943231, -1.503135, -2.327311, -1.809524, -2.997314]"
5,add_node,random,5,7,True,False,,,,best_parent=0,0.22859047831878604,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.438821, -0.059377, 0.275192, -0.051172, -0.75323, 0.021887, 0.017577, -0.267078]","[2.76092, -0.944149, 1.672402, 0.128016, -3.092422, -0.275721, -0.023826, 0.582136]"
6,add_node,random,6,8,True,False,,,,best_parent=0,0.24325094209493295,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.601449, -0.116617, 0.500391, 0.20632, -0.478919, 0.061535, -0.067788, -0.219463]","[3.251926, -0.697532, 2.785889, 2.819568, 2.305011, 0.46392, -0.934142, 0.263775]"
7,add_node,random,5,9,True,False,,,,best_parent=0,0.23867566893893538,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.649524, 0.116525, -0.074125, -0.047192, -0.360881, 0.295846, -0.109429, -0.394838]","[5.562771, 0.837041, -1.965752, 0.224205, 0.777908, 2.801513, -1.500737, -0.653606]"
8,add_node,random,7,10,True,False,,,,best_parent=0,0.30794047368902533,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.001605, -0.115685, 0.674598, 0.237917, -0.69253, 0.274996, 0.03876, -0.087872]","[6.071285, -0.106212, 2.446333, 0.55926, -2.864998, 2.445946, 1.122375, 1.250439]"
9,add_node,goal_bias,8,11,True,False,,,,best_parent=0,0.26666884638787786,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.758529, 0.229886, -0.072972, 0.003201, -0.292352, 0.260157, 0.218797, -0.350659]","[2.499053, 1.0, -0.065136, 0.345549, 0.1732, 0.017704, 2.448596, -0.05053]"
