iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
17,add_node,random,12,19,True,False,,,,best_parent=0,0.2444301996616164,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.078548, -0.026842, 0.604546, 0.097351, 0.415658, -0.773113, 0.473786, 0.494157]","[0.073608, -0.233708, 2.592657, -0.200848, 3.082669, -2.495406, 2.209013, 1.039131]"
18,add_node,random,14,20,True,False,,,,best_parent=0,0.30909226013578145,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.488439, -0.186337, 0.302652, -0.896922, -0.263248, 0.881311, -0.459732, -0.268513]","[5.072829, 0.095265, 2.419662, -2.361192, 0.242686, 1.892919, 0.481377, -2.122496]"
19,add_node,random,12,21,True,False,,,,best_parent=0,0.2550535725848715,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.563399, -0.000305, 0.254491, 0.39731, 0.176372, -0.761657, 0.06702, 0.427386]","[4.677773, 0.019759, -0.743667, 2.644464, 0.789444, -2.370226, -1.662266, 0.401144]"
20,add_node,random,17,22,True,False,,,,best_parent=2,0.3769380534320363,"[0.68117, -0.088047, 0.133753, -0.253314, -0.11081, 0.358275, -0.261193, 0.271537]","[2.330808, -0.241461, 0.285803, -0.24193, -0.30012, 0.771751, -0.572298, 0.319903]","[6.465453, -0.270865, 2.682516, 1.622225, 0.283879, 2.395191, 2.62787, -0.38846]"
21,add_node,random,18,23,True,False,,,,best_parent=0,0.2785219252538636,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.157923, -0.053773, 0.283153, 0.111311, 0.580471, -0.864503, 0.671809, 0.745268]","[1.823711, -0.27967, -2.412679, 0.228406, 1.962921, -1.631083, 2.332819, 2.851573]"
22,add_node,goal_bias,15,24,True,False,,,,best_parent=0,0.3376479944707189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.156151, 0.426633, -0.532632, 0.466668, -0.403665, 0.310326, -0.903308, -0.529386]","[0.850332, 1.0, -1.077664, 1.363786, -0.2054, -0.176982, -1.087064, -1.984521]"
23,add_node,random,23,25,True,False,,,,best_parent=0,0.3474359146749647,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.260472, 0.420548, -0.782068, 0.601432, -0.607187, 0.133626, -0.599997, -0.541325]","[2.07042, 0.373302, -2.718677, 1.647732, -2.18733, -1.238264, 1.754901, -0.634024]"
24,add_node,random,9,26,True,False,,,,best_parent=0,0.16467132844311075,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.841528, 0.018133, 0.392164, 0.296563, -0.001167, -0.090295, 0.599783, 0.095131]","[2.032712, 0.050009, 2.208347, 1.802009, -0.329067, 2.835277, 3.036493, -1.348864]"
25,add_node,random,22,27,True,False,,,,best_parent=0,0.33325786011109443,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.681227, -0.114752, 0.329821, 0.094834, 0.737638, -0.888905, 0.759324, 0.659901]","[7.417459, -0.783178, 0.841372, -0.085777, 2.460427, -1.156394, 1.718622, -0.275852]"
26,add_node,random,19,28,True,False,,,,best_parent=0,0.3371272884736518,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.644924, -0.106267, 0.585259, -0.829125, -0.204895, 0.983909, -0.611522, -0.497172]","[2.822932, 0.496491, 2.712709, -0.318758, 0.234381, 1.756258, -1.754179, -2.218504]"
27,add_node,random,19,29,True,False,,,,best_parent=2,0.38782259380939466,"[0.68117, -0.088047, 0.133753, -0.253314, -0.11081, 0.358275, -0.261193, 0.271537]","[1.740915, -0.261269, 0.266045, -0.925651, -0.489369, 1.006854, -0.193431, -0.398093]","[4.158174, -0.978684, -0.08443, -1.200707, -2.654299, 2.208824, 2.356198, -1.638727]"
28,add_node,random,26,30,True,False,,,,best_parent=4,0.39438209871826196,"[0.278313, -0.056052, 0.099288, 0.151058, 0.056826, -0.326299, 0.156786, 0.074316]","[2.063619, -0.102898, 0.171506, -0.068816, 0.863629, -1.043423, 0.531781, 0.783383]","[6.938505, 0.048229, -1.846751, -2.155086, 2.469822, -3.013271, -2.369015, 2.357581]"
