iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.07999999999999996,"[0.362816, 0.784903, -0.935021, 1.49632, -0.345349, -0.16155, -1.052315, -2.133244]","[0.756696, 0.726183, -1.053836, 1.336025, -0.387693, -0.256886, -0.902784, -1.915713]","[7.252534, -0.242213, -3.013318, -1.307536, -1.086036, -1.829159, 1.563268, 1.671797]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.13971508797129645,"[0.362816, 0.784903, -0.935021, 1.49632, -0.345349, -0.16155, -1.052315, -2.133244]","[1.232, 0.717753, -1.101958, 1.266892, -0.225435, -0.059117, -1.010145, -1.75797]","[7.008091, 0.615304, -1.686756, 0.426762, 1.746397, 2.344257, -2.314843, 0.158984]"
2,add_node,goal_bias,2,4,True,False,,,,best_parent=0,0.18456011475656983,"[0.362816, 0.784903, -0.935021, 1.49632, -0.345349, -0.16155, -1.052315, -2.133244]","[1.719565, 0.812694, -1.09743, 1.313206, -0.202031, -0.095645, -1.064654, -1.837299]","[2.68146, 1.0, -1.088499, 1.404576, -0.155858, -0.167709, -1.17219, -1.993802]"
3,extend,random,3,4,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.893315, 0.76785, -0.950957, 1.308934, -0.162964, -0.062295, -0.926965, -1.858367]",0.5714285714285714,extend_edge_collision,,"[1.719565, 0.812694, -1.09743, 1.313206, -0.202031, -0.095645, -1.064654, -1.837299]","[2.023628, 0.734217, -0.841102, 1.30573, -0.133663, -0.037282, -0.823698, -1.874169]","[5.826053, -0.247176, 2.364392, 1.212241, 0.7213, 0.692564, 2.189544, -2.33524]"
4,choose_parent,goal_bias,0,4,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.438666, 0.856497, -1.027119, 1.41652, -0.248094, -0.144413, -1.091309, -2.006884]",0.5833333333333334,parent_edge_collision,,"[0.362816, 0.784903, -0.935021, 1.49632, -0.345349, -0.16155, -1.052315, -2.133244]","[2.20713, 0.907636, -1.092903, 1.35952, -0.178627, -0.132173, -1.119162, -1.916627]","[2.68146, 1.0, -1.088499, 1.404576, -0.155858, -0.167709, -1.17219, -1.993802]"
4,add_node,goal_bias,3,5,True,False,,,,best_parent=3,0.2645601147565698,"[1.719565, 0.812694, -1.09743, 1.313206, -0.202031, -0.095645, -1.064654, -1.837299]","[2.20713, 0.907636, -1.092903, 1.35952, -0.178627, -0.132173, -1.119162, -1.916627]","[2.68146, 1.0, -1.088499, 1.404576, -0.155858, -0.167709, -1.17219, -1.993802]"
4,connect_goal,,4,5,True,False,,,,periodic_goal_connected,0.34238841382242147,"[2.20713, 0.907636, -1.092903, 1.35952, -0.178627, -0.132173, -1.119162, -1.916627]","[2.68146, 1.0, -1.088499, 1.404576, -0.155858, -0.167709, -1.17219, -1.993802]",
