iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,best_parent=0,0.08,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.107913, -0.037266, -0.081284, 0.083153, 0.292796, 0.072321, 0.242152, 0.261218]","[1.10202, -0.38057, -0.830081, 0.849176, 2.990077, 0.738548, 2.472898, 2.667601]"
1,add_node,random,0,3,True,False,,best_parent=0,0.07999999999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.165429, -0.023774, 0.329374, 0.059396, 0.019607, 0.090219, 0.164627, -0.286178]","[1.403832, -0.20175, 2.795062, 0.504035, 0.166383, 0.7656, 1.397026, -2.428504]"
2,add_node,random,2,4,True,False,,best_parent=0,0.12245257204538626,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.597655, -0.021485, 0.199849, 0.234177, 0.188201, 0.185902, 0.007184, -0.443042]","[6.869709, 0.011735, -1.679693, 2.770425, 2.634683, 1.574355, -2.277486, -2.719298]"
3,add_node,random,3,5,True,False,,best_parent=0,0.1662382754410462,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.019537, -0.069769, 0.008463, 0.072331, 0.061366, 0.091146, 0.067122, -0.602622]","[7.008318, -0.755178, -2.708338, -2.225135, -1.739108, -1.25395, 0.917967, -2.867926]"
4,add_node,random,4,6,True,False,,best_parent=0,0.17621242275575955,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.076694, -0.013899, -0.25845, -0.128266, -0.186247, 0.039805, 0.269408, -0.54591]","[1.421967, 0.323603, -1.87083, -1.340041, -1.682036, -0.270334, 1.491382, -0.203324]"
5,add_node,random,1,7,True,False,,best_parent=0,0.12542549437320108,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.283208, -0.065979, -0.294765, 0.057517, 0.162979, 0.358553, 0.121126, 0.516558]","[1.793128, -0.313301, -2.133603, -0.163306, -0.955209, 2.824029, -0.921344, 2.715946]"
6,add_node,random,4,8,True,False,,best_parent=0,0.21563979187189639,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.260239, -0.163541, 0.165548, -0.061919, 0.220919, 0.038585, 0.307285, -0.625]","[3.309053, -0.96171, 1.502632, -1.204635, 1.579006, -0.408805, 2.351512, -0.815475]"
7,add_node,goal_bias,5,9,True,False,,best_parent=0,0.20978461579293622,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.266447, 0.097708, -0.238518, -0.030167, -0.127832, 0.038032, 0.567757, -0.479651]","[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]"
8,add_node,random,7,10,True,False,,best_parent=0,0.2556078473801292,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.355999, -0.267097, 0.182727, -0.216563, 0.004935, 0.231278, 0.168038, -0.741184]","[2.000962, -0.964568, 0.298428, -1.258121, -1.449762, 1.529108, -0.769819, -1.523706]"
9,add_node,random,9,11,True,False,,best_parent=0,0.3033045963007774,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.882358, -0.287457, 0.159671, -0.094601, -0.035864, 0.371758, 0.262889, -0.575537]","[7.056574, -0.487607, -0.066974, 1.104316, -0.43692, 1.752697, 1.195295, 1.052802]"
10,add_node,random,10,12,True,False,,best_parent=0,0.357117632164095,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.265671, -0.299306, -0.10737, 0.044266, -0.048884, 0.379792, 0.48237, -0.714005]","[6.090349, -0.417526, -2.771895, 1.429873, -0.178796, 0.459954, 2.672338, -2.095635]"
11,add_node,random,11,13,True,False,,best_parent=0,0.3723528355781475,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.357213, -0.329279, -0.215093, 0.127039, 0.272801, 0.485065, 0.158258, -0.700402]","[3.151773, -0.589434, -1.150092, 0.845478, 3.064914, 1.398806, -2.654922, -0.582333]"
12,add_node,random,11,14,True,False,,best_parent=0,0.3825260903283753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.398924, -0.264654, -0.274471, -0.349499, -0.064904, 0.546236, 0.611898, -0.754436]","[3.16956, -0.064259, -1.240854, -2.626729, -0.157555, 1.508819, 1.36099, -0.988256]"
13,add_node,random,12,15,True,False,,best_parent=0,0.3765373802658545,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.322137, -0.303535, -0.576938, 0.45323, 0.301357, 0.462889, 0.095252, -0.650558]","[2.090674, -0.133657, -2.964674, 2.605695, 0.489794, 0.316551, -0.320513, -0.321651]"
14,add_node,random,13,16,True,False,,best_parent=0,0.41471203437512977,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.679261, -0.277591, -0.053954, -0.4786, -0.344135, 0.545057, 0.734534, -0.547584]","[4.920759, -0.381033, 1.709247, -1.510855, -2.576793, 0.535632, 1.715102, 1.106353]"
15,add_node,random,6,17,True,False,,best_parent=0,0.1660943482157427,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.295475, 0.031367, -0.280712, -0.118973, 0.094188, 0.586345, 0.01282, 0.759828]","[0.405164, 0.901831, -0.155047, -1.697136, -0.520936, 2.62325, -0.955644, 2.935132]"
16,add_node,random,11,18,True,False,,best_parent=0,0.37410937970695957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.056422, -0.359334, -0.093328, 0.233033, -0.311016, 0.539432, 0.716078, -0.781542]","[0.255663, -0.875925, 0.027522, 1.85753, -2.56688, 1.913269, 2.727339, -1.362757]"
17,add_node,random,14,19,True,False,,best_parent=0,0.3902161454919313,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.544311, -0.258034, -0.773135, 0.57046, 0.143304, 0.185282, -0.078818, -0.523209]","[4.954191, 0.2355, -2.901245, 1.842029, -1.571063, -2.825865, -1.966919, 0.858125]"
18,add_node,random,15,20,True,False,,best_parent=0,0.4501560419193752,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.712879, -0.335262, 0.279688, -0.720033, -0.369321, 0.533374, 0.800735, -0.757677]","[2.915336, -0.682573, 2.288992, -2.174021, -0.521, 0.463016, 1.199418, -2.022926]"
19,add_node,random,18,21,True,False,,best_parent=0,0.43442550223266213,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.873788, -0.293771, -0.961248, 0.554878, 0.25236, -0.048987, -0.084939, -0.260962]","[6.634563, -0.701685, -3.108445, 0.377014, 1.497159, -2.723027, -0.154798, 2.732428]"
20,add_node,goal_bias,8,22,True,False,,best_parent=0,0.2641369949729217,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.456201, 0.209316, -0.218587, 0.067933, -0.069418, 0.036258, 0.866107, -0.413392]","[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]"
21,add_node,random,20,23,True,False,,best_parent=0,0.4707507579205877,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.262566, -0.287467, -0.707042, 0.802879, 0.106583, -0.086463, -0.046757, -0.181838]","[6.7892, -0.230283, 1.598885, 3.052522, -1.215767, -0.426411, 0.299594, 0.535899]"
22,add_node,random,5,24,True,False,,best_parent=0,0.18918141187660847,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.064067, 0.038814, -0.375517, -0.429608, -0.092153, -0.189139, 0.026514, -0.557312]","[0.959437, 0.475632, -1.34561, -2.92672, 0.687563, -2.086317, -1.986262, -0.651791]"
23,add_node,goal_bias,21,25,True,False,,best_parent=0,0.32913085422558097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.645955, 0.320923, -0.198655, 0.166032, -0.011004, 0.034485, 1.164457, -0.347133]","[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]"
24,add_node,random,22,26,True,False,,best_parent=0,0.5091852259929007,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.614226, -0.252356, -0.590437, 0.921053, 0.139368, -0.219096, -0.26942, 0.075644]","[6.885451, 0.074257, 0.494248, 2.020329, 0.444346, -1.452875, -2.340685, 2.470805]"
25,add_node,random,25,27,True,False,,best_parent=0,0.5312647961009346,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.653675, -0.221418, -0.692159, 1.133226, -0.110918, -0.445881, -0.359174, 0.329592]","[3.916239, -0.015499, -1.369206, 2.545414, -1.776781, -1.955323, -0.956565, 2.019826]"
26,add_node,random,24,28,True,False,,best_parent=0,0.3493467257415569,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.673035, 0.275029, -0.311406, 0.392861, -0.257613, -0.239874, 1.340003, -0.357472]","[1.907928, -0.123049, -1.289387, 2.360335, -2.396655, -2.619612, 2.862655, -0.447151]"
27,add_node,goal_bias,24,29,True,False,,best_parent=0,0.39960716496729143,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.835708, 0.432531, -0.178723, 0.264131, 0.04741, 0.032711, 1.462807, -0.280874]","[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]"
28,add_node,random,19,30,True,False,,best_parent=0,0.48813032243562743,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.082988, -0.352577, 0.465065, -0.753482, -0.169187, 0.649352, 0.83242, -0.487683]","[7.030144, -0.537233, 2.442079, -1.110218, 1.965209, 1.886234, 1.170338, 2.391755]"
