iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
15,add_node,random,13,17,0.030837100006465334,,,0,0,0,True,False,,,,best_parent=6,0.5331338969257909,"[1.79968, 0.191233, 0.596562, -0.47324, 0.131445, 0.502395, -0.048317, 0.680258]","[3.203362, 0.341046, 0.874765, -0.636193, 0.694781, 0.654388, 0.027173, 0.991211]","[6.791889, 0.948765, -2.572921, 0.972803, 1.475435, -1.692682, 1.122345, 1.462377]"
16,add_node,random,10,18,0.03454210000199964,,,0,0,0,True,False,,,,best_parent=0,0.2359727835876171,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.943476, -0.014169, -0.039971, -0.760483, 0.256581, 0.25915, 0.298679, 0.910734]","[1.184683, -0.866613, -0.662013, -2.028159, 0.166374, -0.535067, 1.778815, 1.522956]"
17,add_node,random,16,19,0.03704260000085924,,,0,0,0,True,False,,,,best_parent=5,0.5578084995397135,"[1.478027, 0.131094, 0.407433, -0.450853, 0.075293, 0.306264, -0.248444, 0.497434]","[3.369443, 0.393686, 0.569872, -0.747923, 0.789887, 0.404882, -0.132921, 1.0639]","[5.200578, 0.974065, -2.791739, -1.979805, 1.838487, -2.346066, -1.898057, 1.86534]"
18,add_node,random,15,20,0.05242510000243783,,,0,0,0,True,False,,,,best_parent=0,0.18617212055389198,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.301399, -0.074624, -0.044379, 0.559364, 0.596687, -0.119257, 0.460349, -0.597988]","[2.541456, -0.404506, -0.463825, 1.426704, 2.775487, -1.259012, 2.914562, -2.724675]"
19,add_node,random,18,21,0.0552287000027718,,,0,0,0,True,False,,,,best_parent=5,0.5846300054829151,"[1.478027, 0.131094, 0.407433, -0.450853, 0.075293, 0.306264, -0.248444, 0.497434]","[3.742908, 0.421644, 0.336487, -0.662621, 0.61251, 0.443047, -0.017427, 0.843543]","[7.146887, 0.676472, -1.790726, 0.114868, -1.004201, 0.790899, 1.035255, -1.164922]"
20,add_node,random,10,22,0.05986780000239378,,,0,0,0,True,False,,,,best_parent=0,0.2490230202002727,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.942043, 0.185294, -0.224078, -0.68735, 0.006207, 0.376763, 0.262069, 0.901679]","[1.272313, 0.964821, -2.956498, -1.766176, -2.629952, 0.419822, 2.010197, 1.685715]"
21,add_node,random,15,23,0.06308570000692271,,,0,0,0,True,False,,,,best_parent=0,0.15830425939897835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.070855, 0.071154, -0.071544, 0.68223, 0.291515, 0.171469, 0.132364, -0.576877]","[0.15759, 0.965785, -0.658501, 2.437121, -0.280833, 1.534554, -0.384432, -2.263957]"
22,add_node,goal_bias,16,24,0.06544120000035036,,,0,0,0,True,False,,,,best_parent=6,0.5941420351137523,"[1.79968, 0.191233, 0.596562, -0.47324, 0.131445, 0.502395, -0.048317, 0.680258]","[3.460877, 0.39912, 1.074401, -0.648364, 0.711685, 0.873447, 0.25771, 1.180488]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
23,add_node,goal_bias,23,25,0.06803800000488991,,,0,0,0,True,False,,,,best_parent=23,0.6741420351137524,"[3.460877, 0.39912, 1.074401, -0.648364, 0.711685, 0.873447, 0.25771, 1.180488]","[3.718392, 0.457194, 1.274037, -0.660535, 0.72859, 1.092505, 0.488247, 1.369765]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
24,add_node,random,20,26,0.0713434999997844,,,0,0,0,True,False,,,,best_parent=6,0.6390843233320095,"[1.79968, 0.191233, 0.596562, -0.47324, 0.131445, 0.502395, -0.048317, 0.680258]","[4.062099, 0.390613, 0.208688, -0.446422, 0.824402, 0.623484, -0.204853, 0.897127]","[7.367211, 0.069303, -1.114623, 1.792252, 3.01847, 2.491854, -2.145594, 1.45197]"
