iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
15,add_node,random,15,17,0.0339456000001519,,,0,0,0,True,False,,,,best_parent=0,0.2684230995801324,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.549523, -0.188644, 0.01293, 0.254187, -0.146344, -0.433677, 0.728204, 0.410964]","[3.120599, 0.043917, 1.572939, 1.649199, 0.209699, -0.910248, 1.581644, 0.469838]"
16,add_node,random,14,18,0.03752689999964787,,,0,0,0,True,False,,,,best_parent=0,0.30724060492173627,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.024799, -0.130244, -0.533232, 0.255858, -0.093505, -0.079851, 0.158149, -0.758225]","[5.392704, 0.961337, -2.113921, 0.722337, 0.497809, 0.628776, 3.100495, -2.953784]"
17,add_node,goal_bias,13,19,0.039199099999677856,,,0,0,0,True,False,,,,best_parent=11,0.47786671684685617,"[1.515783, -0.279932, -0.457227, 0.0441, 0.109727, -0.007761, -0.217085, -0.338284]","[2.717603, -0.484028, -0.968659, 0.16916, 0.503149, 0.057684, -0.489154, -0.632309]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
18,add_node,random,17,20,0.04342910000559641,,,0,0,0,True,False,,,,best_parent=0,0.3306708430528582,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.082838, -0.092199, -0.651005, -0.088394, 0.105758, -0.079611, 0.280701, -0.979362]","[2.575394, 0.230678, -1.650501, -3.009943, 1.796831, -0.077578, 1.320765, -2.856077]"
19,add_node,random,7,21,0.04757660000177566,,,0,0,0,True,False,,,,best_parent=0,0.23484734626797382,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.696144, 0.055973, 0.741635, -0.326755, 0.166413, 0.018731, -0.692097, 0.821091]","[4.956086, 0.491414, 0.694752, -0.089321, -1.07093, 2.849962, -1.513151, 2.797178]"
20,add_node,goal_bias,18,22,0.049781400004576426,,,0,0,0,True,False,,,,best_parent=12,0.5531469259384195,"[1.941709, -0.363731, -0.654144, 0.156241, 0.194824, 0.019437, -0.300845, -0.384991]","[3.131599, -0.570963, -1.167551, 0.310591, 0.559882, 0.086035, -0.564514, -0.650214]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
21,add_node,random,6,23,0.05572020000545308,,,0,0,0,True,False,,,,best_parent=0,0.2410719831252329,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.974776, -0.229577, 0.316284, -0.365285, 0.155821, -0.611039, 0.733587, -0.051191]","[1.053759, -0.073679, 1.024643, -1.234959, 1.190561, -2.451238, 1.380425, 0.305321]"
22,add_node,random,21,24,0.05703840000205673,,,0,0,0,True,False,,,,best_parent=12,0.6098199752263062,"[1.941709, -0.363731, -0.654144, 0.156241, 0.194824, 0.019437, -0.300845, -0.384991]","[3.499217, -0.57648, -1.058454, 0.540982, 0.708787, 0.197566, -0.762748, -0.816992]","[7.255604, -0.632849, 0.056318, 2.895148, 2.230324, 1.3372, -2.788328, -2.521159]"
23,add_node,goal_bias,23,25,0.058492399999522604,,,0,0,0,True,False,,,,best_parent=12,0.6802014757576333,"[1.941709, -0.363731, -0.654144, 0.156241, 0.194824, 0.019437, -0.300845, -0.384991]","[3.875137, -0.671639, -1.303705, 0.645689, 0.738006, 0.203768, -0.801461, -0.799108]","[5.160464, -0.997004, -2.142258, 1.003699, 0.83791, 0.224977, -0.933828, -0.737961]"
24,add_node,random,16,26,0.06411870000010822,,,0,0,0,True,False,,,,best_parent=0,0.3294347443396237,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.855854, -0.15417, 0.13872, 0.477444, -0.134808, -0.541002, 0.939409, 0.654814]","[4.438916, 0.136519, 1.199415, 2.360011, -0.037536, -1.445999, 2.720344, 2.711024]"
