iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
15,add_node,random,14,17,0.11631039999883797,,,True,False,,,,best_parent=5,0.5755096651895437,"[4.544828, 0.560266, 0.232127, 0.00694, 0.337011, -0.597589, 1.133408, -1.72559]","[4.914329, 0.067916, 0.282674, 0.629367, 0.050281, -1.184523, 0.440598, -1.752139]","[5.076756, -0.659032, 0.507685, -1.495749, 1.758909, -1.89964, -0.070107, -1.98546]"
16,add_node,random,11,18,0.12879069999871717,,,True,False,,,,best_parent=2,0.43677886813819233,"[4.409552, 0.697347, 0.795275, 0.089413, 0.046306, -0.655134, 1.662544, -2.273546]","[3.610196, 0.573254, 0.179399, -0.672795, -0.412982, -0.292566, 1.034213, -1.084733]","[0.567644, 0.4604, -1.300166, -2.372728, -1.198696, 2.25154, 1.589141, 1.612829]"
17,add_node,random,9,19,0.15140359999895736,,,True,False,,,,best_parent=7,0.47493891017042733,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.369398, 0.351044, -0.312348, 0.362944, 0.28506, 0.088502, 0.446901, -1.319162]","[0.579123, -0.012479, -0.622657, 1.953357, 1.342982, 3.009354, -0.497599, 2.43749]"
18,extend,goal_bias,14,19,0.1526732999991509,0.0006685999996989267,0.0006685999996989267,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
19,extend,random,1,19,0.15330419999918377,0.000420000000303844,0.000420000000303844,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.250494, 0.736077, 0.836783, 0.519642, 0.439606, -0.577237, 1.806471, -2.409184]",0.5714285714285714,extend_edge_collision,,"[4.487227, 0.752991, 0.87221, 0.393728, 0.323477, -0.495707, 1.725665, -2.38893]","[4.072944, 0.72339, 0.810213, 0.614078, 0.526703, -0.638384, 1.867076, -2.424375]","[0.946907, 0.500032, 0.342402, 2.27677, 2.060181, -1.714975, 2.934113, -2.691831]"
20,extend,goal_bias,14,19,0.15406639999855543,0.0005904000008740695,0.0005904000008740695,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
21,add_node,random,13,20,0.16192259999843372,,,True,False,,,,best_parent=2,0.4618340872411796,"[4.409552, 0.697347, 0.795275, 0.089413, 0.046306, -0.655134, 1.662544, -2.273546]","[3.383791, 0.445449, 0.624491, -0.70156, -0.536098, -0.881594, 0.564667, -1.406056]","[1.051646, -0.671983, 2.836427, -2.524295, -1.298525, -2.130349, -0.773692, -0.408913]"
22,add_node,random,14,21,0.17362859999957436,,,True,False,,,,best_parent=7,0.5899139532525454,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.933815, 0.143594, 0.139641, 0.870264, -0.418672, -1.155519, 0.355409, -1.337477]","[5.371705, -0.104192, -1.040792, 0.352575, -2.895609, -1.876887, -1.272834, 2.685953]"
23,add_node,random,19,22,0.19314349999876868,,,True,False,,,,best_parent=3,0.5193363922125742,"[4.533783, 0.617696, 0.77108, 0.024581, 0.206083, -0.739594, 1.409022, -1.993586]","[3.168917, 0.309151, 0.529347, -0.779449, -0.462501, -0.939849, 0.689725, -1.383737]","[1.297181, -0.878124, -0.29944, -1.457927, 0.178586, -1.447299, 1.779087, -1.189318]"
24,add_node,random,21,23,0.2081328999993275,,,True,False,,,,best_parent=6,0.5653072744241783,"[4.206319, 0.558542, 0.528696, -0.280814, -0.136467, -0.670826, 0.911128, -1.551206]","[3.099655, 0.27576, 0.545762, -0.94017, -0.274412, -0.694099, 0.4176, -1.177683]","[2.430396, -0.046892, 0.704372, -2.49318, 1.543049, 1.680515, -2.211867, 0.813363]"
25,add_node,random,5,24,0.2285383999987971,,,True,False,,,,best_parent=0,0.2990385583502087,"[4.740715, 0.836099, 0.769328, 0.391172, 0.278458, -0.44653, 1.967215, -2.654108]","[4.546536, 0.519062, 0.433529, 0.049597, 0.548969, -0.634609, 1.256259, -1.36242]","[4.563519, 0.109222, 2.436777, 0.473888, 2.65722, -1.002825, 2.478195, 2.249863]"
26,add_node,random,17,25,0.2493901999987429,,,True,False,,,,best_parent=17,0.5167788681381924,"[3.610196, 0.573254, 0.179399, -0.672795, -0.412982, -0.292566, 1.034213, -1.084733]","[3.496708, 0.606061, 0.023434, -0.866709, -0.293113, -0.257228, 1.096238, -0.694523]","[2.60529, 0.863745, -1.20163, -2.389856, 0.648425, 0.020345, 1.58343, 2.370481]"
27,add_node,random,18,26,0.2645441999993636,,,True,False,,,,best_parent=7,0.5236336714096019,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.480964, 0.236516, -0.189282, 0.295459, 0.492035, 0.303365, 0.453686, -1.23877]","[5.563845, -0.875117, 1.005214, -0.359557, 2.500966, 2.388863, 0.519547, -0.458472]"
28,add_node,random,24,27,0.27544879999913974,,,True,False,,,,best_parent=4,0.5568230242678351,"[4.506701, 0.620293, 0.525969, -0.097643, 0.034853, -0.754859, 1.172073, -1.691658]","[3.883198, 0.608989, -0.034127, -1.019145, -0.410869, -0.206857, 1.183487, -0.366862]","[6.834004, 0.631348, -0.473598, -2.182972, -1.309918, 0.177717, 1.849627, 2.134787]"
29,add_node,random,22,28,0.2884441999995033,,,True,False,,,,best_parent=6,0.6044600068201806,"[4.206319, 0.558542, 0.528696, -0.280814, -0.136467, -0.670826, 0.911128, -1.551206]","[3.271628, 0.190233, 0.665448, -1.117712, -0.362926, -0.45736, 0.233337, -1.311533]","[5.057956, -0.698163, 1.908664, -2.961895, -1.282351, 2.001726, -1.680656, -2.70187]"
30,extend,goal_bias,14,28,0.2894884999986971,0.000634899999568006,0.000634899999568006,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
