iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
17,add_node,random,15,19,True,False,,,,best_parent=12,0.505532717661277,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.050458, -0.168795, -0.533759, -0.610529, -0.745286, 0.584778, 0.550164, 0.220705]","[3.416606, 0.210986, -0.90125, -0.74122, 0.759214, 0.413916, 1.979432, -0.141987]"
18,add_node,goal_bias,6,20,True,False,,,,best_parent=0,0.20681584076165999,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[3.00289, -0.981087, -0.738955, -0.375476, -1.366048, -0.775102, 1.141307, 1.25221]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
19,add_node,random,18,21,True,False,,,,best_parent=12,0.5198674950329969,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.148198, -0.126983, -0.562339, -0.89609, -0.668591, 0.762472, 0.480933, 0.543999]","[3.849558, 0.173053, -0.767425, -2.945223, -0.11824, 2.037569, -0.015858, 2.863889]"
20,add_node,random,20,22,True,False,,,,best_parent=12,0.5545937721958232,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.430848, -0.085422, -0.592023, -1.082956, -0.787628, 0.912904, 0.293968, 0.82209]","[5.783123, 0.260454, -0.839058, -2.63809, -1.778281, 2.164828, -1.261986, 3.136427]"
21,add_node,random,21,23,True,False,,,,best_parent=12,0.6003891624241571,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.09712, -0.014008, -0.630224, -1.199665, -0.739406, 1.037963, -0.014056, 0.883881]","[0.417363, 0.559427, -0.936965, -2.136806, -0.352194, 2.042158, -2.487417, 1.38005]"
22,add_node,random,17,24,True,False,,,,best_parent=7,0.5270951660576103,"[2.600454, -0.771383, -0.690654, -0.936583, -1.298671, 0.229336, 0.702653, 0.172692]","[3.662108, -0.248042, -0.496627, -0.814189, -1.178489, 0.224549, -0.243437, 0.306679]","[7.766346, -0.442705, 0.636025, -1.591356, -1.002433, -0.615542, -2.947269, -0.373699]"
23,add_node,goal_bias,19,25,True,False,,,,best_parent=0,0.2661586750203124,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.843174, -0.987757, -0.665711, -0.477807, -1.390438, -1.171255, 1.164815, 1.501061]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
24,add_node,random,24,26,True,False,,,,best_parent=0,0.3125944970045152,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.902723, -0.98515, -0.840637, -0.160873, -1.12113, -1.323101, 1.309909, 1.451912]","[3.402398, -0.963277, -2.308465, 2.498558, 1.138661, -2.597255, 2.527409, 1.039501]"
25,add_node,random,5,27,True,False,,,,best_parent=0,0.16566022371108097,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.502376, -0.909482, -0.831698, -0.12336, -1.69744, -0.148614, 0.967075, 1.317507]","[0.001998, -0.345038, 0.178278, 2.371303, -2.681355, 0.157571, 0.516438, 2.589594]"
26,add_node,random,25,28,True,False,,,,best_parent=19,0.3687797978028917,"[3.00289, -0.981087, -0.738955, -0.375476, -1.366048, -0.775102, 1.141307, 1.25221]","[2.955964, -0.984926, -1.00926, 0.060841, -0.904918, -1.449772, 1.442677, 1.147605]","[3.541957, -0.982456, -2.865188, 2.501125, 1.474804, -2.843971, 2.90398, -2.201734]"
27,add_node,random,21,29,True,False,,,,best_parent=12,0.6005450219045592,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.694064, -0.075126, -0.31969, -0.783258, -0.671719, 0.958922, 0.244017, 0.981927]","[6.609614, 0.038912, 2.69685, 2.536398, 0.612173, 1.468649, -0.309273, 2.75239]"
28,add_node,random,3,30,True,False,,,,best_parent=0,0.21863068990015017,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.593778, -0.739999, -0.470651, -1.081495, -1.682822, -0.252264, 1.080871, 0.133426]","[3.92114, -0.525012, 0.770169, -2.869869, -2.341053, -2.786189, 1.705273, -1.225394]"
29,add_node,random,16,31,True,False,,,,best_parent=7,0.47566200264088665,"[2.600454, -0.771383, -0.690654, -0.936583, -1.298671, 0.229336, 0.702653, 0.172692]","[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.774734, -0.836913, 2.530255, -0.138392, 1.822102, -1.209002, -0.065642, -1.068823]"
30,add_node,random,13,32,True,False,,,,best_parent=0,0.25155200443816783,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[3.873326, -0.869151, -0.820252, 0.012298, -1.602452, -0.474024, 1.357779, 0.821858]","[5.686329, -0.11828, -2.575465, 1.569263, -2.420222, -0.386589, 2.757069, -0.714029]"
31,add_node,random,22,33,True,False,,,,best_parent=12,0.6419816612317091,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.060045, 0.059527, -0.836405, -0.934472, -0.730509, 0.855837, -0.191417, 1.027683]","[2.671661, 0.829858, -2.996292, 1.843592, -0.637305, -1.052049, -2.049388, 2.534096]"
32,add_node,random,1,34,True,False,,,,best_parent=0,0.11256862970016603,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.851972, -0.954489, -0.298299, -1.302802, -1.678339, 0.501476, 1.283637, 0.846645]","[5.009536, -0.937571, 1.590791, -2.230201, -2.189786, 1.529087, 1.353145, 1.286705]"
33,add_node,random,30,35,True,False,,,,best_parent=7,0.5148449609998816,"[2.600454, -0.771383, -0.690654, -0.936583, -1.298671, 0.229336, 0.702653, 0.172692]","[2.511404, -0.451978, -0.070559, -0.759623, 0.040654, 0.296803, -0.069502, -0.332225]","[3.519344, -0.37439, 0.318643, -1.832752, 2.235911, 1.872836, -0.192113, -0.890079]"
34,add_node,goal_bias,24,36,True,False,,,,best_parent=0,0.3342275999781948,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[2.683459, -0.994426, -0.592468, -0.580138, -1.414827, -1.567409, 1.188323, 1.749911]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
34,connect_goal,,35,36,True,False,,,,periodic_goal_connected,0.40107990131168125,"[2.683459, -0.994426, -0.592468, -0.580138, -1.414827, -1.567409, 1.188323, 1.749911]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
35,add_node,random,30,37,True,False,,,,best_parent=7,0.5338175681529718,"[2.600454, -0.771383, -0.690654, -0.936583, -1.298671, 0.229336, 0.702653, 0.172692]","[2.355086, -0.473656, 0.100827, -0.478064, -0.183632, -0.220945, -0.326702, -0.390513]","[2.414714, -0.553241, 2.146329, 0.463212, 0.960054, -2.513072, -2.744518, -1.687233]"
36,add_node,goal_bias,35,38,True,False,,,,best_parent=4,0.3945588766243533,"[2.741715, -1.0, -0.712389, -0.844002, -1.605716, -0.11719, 1.096403, 1.183233]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
36,connect_goal,,37,38,True,False,,,,periodic_goal_connected,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
37,add_node,random,36,39,True,False,,,,best_parent=30,0.6133997096437177,"[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.425255, -0.378169, 0.346969, -0.48056, -0.035822, -0.159408, -0.447124, -0.63273]","[3.128926, 0.5794, 2.815351, -0.505588, 1.446454, 0.457701, -1.654754, -3.061763]"
38,add_node,random,23,40,True,False,,,,best_parent=12,0.550154299999599,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[4.078944, -0.227104, -0.745741, -0.908332, -1.351629, 0.151523, -0.068037, 0.270786]","[7.886999, -0.035823, -3.02155, -1.768393, -2.933371, -0.515612, 1.534355, -0.057111]"
39,add_node,random,38,41,True,False,,,,best_parent=30,0.6595896034891254,"[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.371299, -0.31887, 0.365039, -0.203947, 0.130482, 0.124947, -0.60533, -0.70696]","[1.808676, 0.299472, 0.553468, 2.680415, 1.864609, 3.090051, -2.255017, -1.480984]"
40,add_node,random,31,42,True,False,,,,best_parent=0,0.31324149515420036,"[2.790475, -1.0, -0.758454, -0.889361, -1.649081, 0.335829, 1.06803, 0.986225]","[4.027818, -0.809041, -0.59506, 0.284938, -1.555991, -0.570933, 1.446482, 0.582618]","[5.539926, -0.220706, 1.609031, 2.953422, -1.101248, -1.519438, 2.314669, -1.758966]"
40,connect_goal,,37,42,True,False,,,,periodic_goal_connected,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
41,add_node,random,39,43,True,False,,,,best_parent=12,0.6019369733240636,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[4.261339, -0.214144, -0.51879, -1.142996, -1.306255, -0.097831, -0.265197, 0.412367]","[5.619841, -0.117614, 1.171571, -2.890807, -0.968302, -1.955052, -1.733679, 1.466879]"
42,add_node,goal_bias,37,44,True,False,,,,best_parent=37,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]"
42,connect_goal,,37,44,True,False,,,,periodic_goal_connected,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
43,add_node,random,28,45,True,False,,,,best_parent=12,0.6248976465790724,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[4.042423, -0.109464, -0.240688, -0.983903, -0.837293, 1.139251, 0.097637, 1.172278]","[7.163095, -0.417063, 0.467027, -2.781321, -2.320543, 2.754678, -1.213664, 2.877474]"
44,add_node,random,40,46,True,False,,,,best_parent=30,0.7123902838933799,"[2.348254, -0.464537, -0.133557, -0.585921, -0.314681, 0.041699, -0.049656, -0.241928]","[2.620377, -0.228769, 0.494359, -0.41417, 0.323824, 0.253951, -0.711457, -0.790371]","[5.436544, 0.789936, 1.95649, -2.791016, 2.509812, 1.712509, -1.911364, -1.733443]"
45,add_node,random,32,47,True,False,,,,best_parent=20,0.7129126182721499,"[3.148198, -0.126983, -0.562339, -0.89609, -0.668591, 0.762472, 0.480933, 0.543999]","[3.015228, 0.132316, -1.042489, -1.063614, -0.459462, 0.880494, -0.17278, 0.772089]","[2.606393, 0.796319, -2.922458, -2.241683, 2.01312, 1.105416, -0.002774, -1.559518]"
46,add_node,random,27,48,True,False,,,,best_parent=4,0.41409577117231533,"[2.741715, -1.0, -0.712389, -0.844002, -1.605716, -0.11719, 1.096403, 1.183233]","[2.611705, -0.928304, -0.849226, 0.291603, -0.851636, -1.588156, 1.643101, 1.217485]","[0.327095, -0.552545, 0.21281, 1.823008, -0.49804, -2.506514, 2.973179, 1.681232]"
47,add_node,random,28,49,True,False,,,,best_parent=12,0.6501063235933021,"[2.956524, -0.487498, -0.924429, -1.08297, -1.178243, 0.681251, 0.673188, 0.294826]","[3.909142, -0.038937, -0.239932, -0.458994, -0.482938, 0.730487, 0.231538, 1.085734]","[5.923114, 0.299941, 0.506917, 2.57739, 1.284783, -1.408555, 0.114687, 2.057768]"
48,add_node,random,34,50,True,False,,,,best_parent=7,0.5409656853969718,"[2.600454, -0.771383, -0.690654, -0.936583, -1.298671, 0.229336, 0.702653, 0.172692]","[2.957561, -0.455168, -0.281348, -0.793792, 0.314556, 0.329869, -0.05304, -0.399535]","[6.859265, -0.48307, -2.124733, -1.092606, 2.709868, 0.619035, 0.090921, -0.988169]"
49,add_node,random,49,51,True,False,,,,best_parent=8,0.5773940944806841,"[2.517131, -0.653529, -0.795944, -1.103816, -1.277697, 0.449288, 0.557439, 0.218666]","[3.374915, -0.529321, -0.044243, -0.806644, 0.302968, 0.483841, 0.027896, -0.436189]","[5.374654, -0.884624, 1.091841, -0.868227, 0.247442, 1.221594, 0.415702, -0.611819]"
50,add_node,random,50,52,True,False,,,,best_parent=50,0.6573940944806841,"[3.374915, -0.529321, -0.044243, -0.806644, 0.302968, 0.483841, 0.027896, -0.436189]","[3.59869, -0.507172, -0.192321, -0.89528, 0.481091, 0.605078, -0.165128, -0.756279]","[4.985417, -0.369915, -1.109949, -1.444549, 1.584909, 1.356375, -1.361288, -2.739856]"
50,connect_goal,,37,52,True,False,,,,periodic_goal_connected,0.3945588766243533,"[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]","[2.549993, -1.0, -0.531261, -0.665651, -1.435208, -1.898455, 1.207967, 1.957864]",
