iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
14,add_node,random,12,16,True,False,,,,best_parent=12,0.3797901265156858,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[2.518317, 0.21863, 0.55848, -0.755386, 0.096926, -0.139424, 0.652646, 0.313122]","[6.873256, -0.168556, -2.316937, 2.363415, -1.960738, 0.685008, 0.850167, -0.949923]"
15,add_node,random,9,17,True,False,,,,best_parent=0,0.2638910575739906,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.834279, 0.427193, 1.359001, -0.375484, 0.290813, -0.070144, 0.386593, 0.431836]","[1.554044, 0.543185, 1.758666, 1.028901, -0.046356, 1.688483, 0.278129, -0.597088]"
16,add_node,random,14,18,True,False,,,,best_parent=5,0.4158019731165742,"[2.44973, 0.458058, 2.237101, -0.973964, 0.513735, -0.827298, 1.315212, 0.667056]","[3.189973, 0.615106, 2.085366, -0.074654, 0.315608, -1.313639, 1.328768, 0.031861]","[2.333776, 0.950545, 0.883302, 2.038278, -0.157592, -2.022095, 1.00929, -0.846838]"
17,add_node,random,15,19,True,False,,,,best_parent=12,0.4412813981771183,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[2.750804, 0.213345, 0.320815, -0.908614, -0.133295, 0.068411, 0.767399, 0.14387]","[5.202694, 0.157602, -2.185688, -2.524607, -2.561294, 2.26031, 1.977624, -1.641129]"
18,add_node,random,18,20,True,False,,,,best_parent=12,0.5140851280865509,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[3.121658, 0.189599, 0.284215, -0.773536, -0.380908, 0.182427, 0.890742, -0.081574]","[6.618081, -0.034281, -0.060859, 0.499984, -2.715406, 1.257374, 2.053627, -2.207062]"
19,add_node,random,19,21,True,False,,,,best_parent=12,0.5511006417415215,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[3.328177, 0.209665, 0.01267, -0.920566, -0.266023, 0.036488, 0.819016, -0.375663]","[5.056223, 0.377572, -2.259471, -2.150843, 0.695277, -1.184659, 0.218846, -2.836444]"
20,add_node,random,19,22,True,False,,,,best_parent=12,0.5441376635256825,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[2.977616, 0.152861, 0.390484, -0.737107, -0.646568, 0.201123, 0.641331, -0.364835]","[2.07658, -0.076947, 1.055241, -0.509233, -2.308372, 0.318076, -0.91883, -2.13674]"
21,add_node,random,11,23,True,False,,,,best_parent=0,0.2146017622338327,"[1.648139, 0.381908, 2.463256, -1.317755, 0.110817, -0.12506, 1.07437, 0.729512]","[1.64467, 0.170369, 2.286297, -0.227344, 0.28854, 0.112268, 1.109548, 0.985681]","[1.078921, -0.559264, 1.973387, 2.395043, -0.610584, 2.575742, 2.726684, 0.423696]"
22,add_node,random,21,24,True,False,,,,best_parent=12,0.5791590164046009,"[2.163416, 0.250184, 0.792809, -1.00955, 0.264613, -0.20661, 0.636549, 0.416052]","[3.088338, 0.059825, 0.291288, -0.725586, -0.882495, 0.306455, 0.544445, -0.094278]","[3.632878, -0.397736, -0.196569, -0.668921, -2.042806, 0.824487, 0.067951, 1.236343]"
23,add_node,goal_bias,17,25,True,False,,,,best_parent=5,0.46155263127243235,"[2.44973, 0.458058, 2.237101, -0.973964, 0.513735, -0.827298, 1.315212, 0.667056]","[3.36891, 0.686095, 2.210309, -0.112819, 0.2655, -1.619101, 1.588567, -0.01402]","[4.160148, 1.0, 2.762793, -0.28158, 0.04393, -2.969816, 2.737365, -0.216899]"
