iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,0.00026979999893228523,,,True,False,,,,best_parent=0,0.08000000000000002,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[4.314221, -0.578879, 1.955212, 0.936767, -0.805065, 1.105078, 0.930766, 1.512064]","[4.374128, -0.150389, -1.209512, -2.707416, -0.10661, -0.994327, -0.572673, 2.045634]"
1,add_node,random,1,3,0.0006904000001668464,,,True,False,,,,best_parent=0,0.13726022942748065,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[4.079703, -0.564344, 1.958197, 0.656157, -0.92838, 0.853335, 0.948761, 1.271415]","[1.451628, -0.401461, 1.991653, -2.488435, -2.310285, -1.967765, 1.150419, -1.425365]"
2,add_node,random,2,4,0.0013443999996525235,,,True,False,,,,best_parent=0,0.16828312904314555,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.948011, -0.593738, 2.055334, 0.800954, -0.984852, 0.482572, 1.150007, 1.125226]","[2.893233, -0.829163, 2.833343, 1.960686, -1.437156, -2.487021, 2.761864, -0.04566]"
3,add_node,random,3,5,0.0022756999987905147,,,True,False,,,,best_parent=0,0.21097392023774084,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.687186, -0.559796, 1.751146, 0.944234, -0.951806, 0.430851, 1.185585, 0.842445]","[0.074609, -0.089685, -2.462037, 2.928745, -0.494094, -0.285511, 1.678357, -3.074234]"
4,add_node,random,4,6,0.003401599999051541,,,True,False,,,,best_parent=0,0.2482028181517747,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.757901, -0.490721, 1.467018, 0.973741, -0.728813, 0.226147, 1.056349, 0.953217]","[4.874538, 0.600021, -3.019539, 1.439685, 2.79238, -3.006251, -0.984373, 2.702365]"
5,add_node,goal_bias,5,7,0.005157600000529783,,,True,False,,,,best_parent=0,0.2601783996133629,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.65223, -0.425355, 1.251439, 1.037267, -0.628804, 0.419863, 0.773249, 1.111456]","[3.233524, -0.166352, 0.39724, 1.288979, -0.232535, 1.187433, -0.348489, 1.738457]"
6,add_node,random,6,8,0.006778099999792175,,,True,False,,,,best_parent=0,0.3035141572511022,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.888692, -0.354427, 1.107076, 0.683481, -0.600347, 0.292792, 0.840125, 1.105439]","[5.418296, 0.104383, 0.173231, -1.605061, -0.416264, -0.529191, 1.272721, 1.066517]"
7,add_node,random,6,9,0.00861839999924996,,,True,False,,,,best_parent=0,0.27156987328339555,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.619271, -0.382363, 1.408041, 0.97199, -0.638198, 0.433089, 0.363005, 1.301579]","[3.436134, -0.143474, 2.278197, 0.609277, -0.690392, 0.506582, -1.916516, 2.357996]"
8,add_node,random,7,10,0.010850200000277255,,,True,False,,,,best_parent=0,0.34709411117599553,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.921865, -0.371803, 0.72325, 0.405567, -0.719381, 0.374573, 0.784039, 1.118568]","[4.222261, -0.529141, -2.752394, -2.111013, -1.797263, 1.115121, 0.276169, 1.237457]"
9,add_node,random,9,11,0.013320799998837174,,,True,False,,,,best_parent=1,0.41718030947989193,"[4.314221, -0.578879, 1.955212, 0.936767, -0.805065, 1.105078, 0.930766, 1.512064]","[4.082883, -0.372703, 0.497656, 0.259914, -0.642428, 0.161859, 0.523323, 0.906991]","[6.205663, -0.384575, -2.476466, -1.660313, 0.372089, -2.642468, -2.913831, -1.882356]"
10,add_node,random,10,12,0.0162105999988853,,,True,False,,,,best_parent=2,0.4465075861995781,"[4.079703, -0.564344, 1.958197, 0.656157, -0.92838, 0.853335, 0.948761, 1.271415]","[4.314739, -0.351035, 0.566536, -0.031849, -0.839869, 0.345781, 0.386344, 0.727095]","[6.712885, -0.12691, 1.278973, -3.04962, -2.882058, 2.248132, -1.03047, -1.133609]"
11,add_node,random,11,13,0.018335299999307608,,,True,False,,,,best_parent=2,0.48633526197952204,"[4.079703, -0.564344, 1.958197, 0.656157, -0.92838, 0.853335, 0.948761, 1.271415]","[4.375105, -0.242047, 0.58951, -0.234118, -0.78772, 0.299996, 0.165974, 0.922463]","[5.002554, 0.89078, 0.828311, -2.336531, -0.245672, -0.175898, -2.124574, 2.95314]"
12,add_node,random,8,14,0.021628499998769257,,,True,False,,,,best_parent=0,0.2867500451826968,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.610651, -0.309397, 1.552838, 0.996173, -0.335719, 0.66631, 0.202052, 1.220807]","[3.51965, 0.460922, 3.081514, 1.251484, 2.857652, 3.128497, -1.497183, 0.368068]"
13,add_node,goal_bias,13,15,0.025352299999212846,,,True,False,,,,best_parent=0,0.3327081675137429,"[4.308946, -0.616613, 2.233901, 1.257678, -0.866572, 1.289954, 1.063161, 1.465078]","[3.492372, -0.264534, 1.190407, 1.088006, -0.303357, 0.82975, 0.029385, 1.383158]","[3.233524, -0.166352, 0.39724, 1.288979, -0.232535, 1.187433, -0.348489, 1.738457]"
14,add_node,random,12,16,0.028052199999365257,,,True,False,,,,best_parent=7,0.5460191130159694,"[3.888692, -0.354427, 1.107076, 0.683481, -0.600347, 0.292792, 0.840125, 1.105439]","[4.647879, -0.162206, 0.693132, -0.274295, -0.756558, 0.297403, 0.352772, 0.615358]","[6.413214, 0.354504, 1.363752, -0.534309, -0.554887, 0.280623, 1.561683, -1.372151]"
