iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
14,add_node,random,8,10,True,False,,,,best_parent=2,0.4521636906907009,"[1.773268, 0.409673, -0.859136, 0.564154, -0.128479, -2.026192, -1.655289, -0.557829]","[2.472425, 0.28701, -0.654798, 0.079402, -0.373151, -0.578048, -0.737389, -0.379375]","[7.415315, 0.556674, 2.667017, -0.389756, 0.524539, 1.368153, 3.001133, -0.728611]"
15,add_node,random,9,11,True,False,,,,best_parent=2,0.46305224641190385,"[1.773268, 0.409673, -0.859136, 0.564154, -0.128479, -2.026192, -1.655289, -0.557829]","[2.817163, 0.250892, -0.336035, 0.101368, -0.558536, -0.711399, -0.838025, -0.38793]","[5.800589, -0.061673, 2.422604, 0.291462, -2.16289, -1.865449, -1.708951, -0.46197]"
16,extend,goal_bias,3,11,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
17,add_node,random,10,12,True,False,,,,best_parent=2,0.48605596950100804,"[1.773268, 0.409673, -0.859136, 0.564154, -0.128479, -2.026192, -1.655289, -0.557829]","[3.126718, 0.296031, -0.372136, 0.254938, -0.703741, -0.857065, -0.550912, -0.239141]","[6.630109, 0.80689, -0.780706, 1.992968, -2.347102, -2.505637, 2.698492, 1.444777]"
18,add_node,random,7,13,True,False,,,,best_parent=5,0.391887509976314,"[2.073273, 0.430688, -0.911663, 0.20206, -0.327123, -1.511865, -1.543974, -0.630228]","[2.150677, 0.36762, -1.230123, -0.362663, -0.398527, -0.889248, -1.194227, -0.449531]","[3.213662, 0.408538, -3.114241, -2.961321, 0.119498, -0.117874, -1.255243, 0.17641]"
19,add_node,random,4,14,True,False,,,,best_parent=0,0.23680232817130514,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[2.119455, 0.333099, -0.401467, 0.22274, 0.08197, -1.87323, -1.78642, -0.904464]","[2.345835, -0.517154, 3.037214, -0.370637, 1.877401, -2.539226, -1.733678, -2.986394]"
20,add_node,random,11,15,True,False,,,,best_parent=4,0.5286020125962843,"[2.097704, 0.414792, -0.731862, 0.279753, -0.090539, -1.80924, -1.791488, -0.704428]","[3.365207, 0.232195, -0.292778, 0.367715, -0.487195, -1.057888, -0.562896, 0.025252]","[5.761863, -0.409318, 0.50471, 1.50105, 1.688956, -3.076024, -0.683329, 2.682236]"
21,add_node,random,10,16,True,False,,,,best_parent=2,0.4930825489970993,"[1.773268, 0.409673, -0.859136, 0.564154, -0.128479, -2.026192, -1.655289, -0.557829]","[2.610143, 0.212219, -0.07867, -0.186944, -0.760359, -0.671107, -0.933626, -0.289338]","[1.01015, -0.086679, 1.910423, -2.41522, -2.320186, -0.359698, -1.672498, 0.472653]"
22,add_node,random,9,17,True,False,,,,best_parent=2,0.48351782787135267,"[1.773268, 0.409673, -0.859136, 0.564154, -0.128479, -2.026192, -1.655289, -0.557829]","[2.385169, 0.195855, -0.563088, 0.255299, -0.105887, -0.367579, -0.686544, -0.468859]","[1.364331, -0.870593, 0.509864, 2.313172, 3.020918, 2.09477, -0.091688, -1.515768]"
23,extend,goal_bias,3,17,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
