iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
14,add_node,random,9,13,0.019207400000595953,,,3,0,0,True,False,,,,best_parent=6,0.5231356285733645,"[5.40375, 0.798284, 2.364631, -0.822978, 0.958254, 2.70898, 1.432487, 2.630889]","[5.032352, 0.561858, 1.912095, -0.747601, 0.569442, 1.791006, 1.097817, 2.136189]","[2.451297, -0.405151, 2.828882, 0.344059, -1.05099, 2.310741, 2.104072, 0.997305]"
15,extend,goal_bias,4,13,0.02023120000376366,0.0008464999991701916,0.0008464999991701916,4,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
16,add_node,random,11,14,0.021748800005298108,,,4,0,0,True,False,,,,best_parent=7,0.6780845068713717,"[5.508121, 0.784906, 2.153511, -0.791451, 0.740018, 2.442242, 1.19721, 2.475775]","[5.30441, 0.550734, 1.19911, -0.519473, 0.65856, 1.004653, 0.425943, 2.099651]","[6.216164, 0.252742, 1.271849, -0.798232, -1.81578, -2.293815, -1.829361, 1.851366]"
17,add_node,random,12,15,0.023932700001751073,,,4,0,0,True,False,,,,best_parent=6,0.5751802740723204,"[5.40375, 0.798284, 2.364631, -0.822978, 0.958254, 2.70898, 1.432487, 2.630889]","[4.722681, 0.531967, 1.840467, -0.899556, 0.384454, 1.777344, 1.119238, 1.789908]","[0.412862, 0.115962, 0.843588, -3.014372, -2.190099, 1.587206, 1.417355, -3.029421]"
18,add_node,random,14,16,0.025959600003261585,,,4,0,0,True,False,,,,best_parent=6,0.6182337089989303,"[5.40375, 0.798284, 2.364631, -0.822978, 0.958254, 2.70898, 1.432487, 2.630889]","[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[5.193282, -0.723538, 0.401339, -0.957834, 0.125224, 2.977799, 1.470415, 0.823013]"
19,add_node,random,15,17,0.028685700002824888,,,4,0,0,True,False,,,,best_parent=7,0.6902887404177317,"[5.508121, 0.784906, 2.153511, -0.791451, 0.740018, 2.442242, 1.19721, 2.475775]","[4.633114, 0.345411, 1.721024, -0.834592, 0.018298, 1.684764, 1.183689, 1.468133]","[3.5853, 0.001317, 2.023097, -0.307349, -2.470156, 0.014576, 1.370465, -0.110968]"
20,extend,goal_bias,4,17,0.029677700003958307,0.0007703000010224059,0.0007703000010224059,5,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
21,add_node,random,16,18,0.031589700003678445,,,5,0,0,True,False,,,,best_parent=15,0.743760484216752,"[4.775127, 0.392047, 1.680083, -0.90605, 0.355564, 1.911129, 1.158375, 1.682153]","[4.371431, 0.252585, 1.63171, -0.813899, 0.170131, 1.75981, 1.271578, 1.18642]","[0.994795, -0.945194, 0.479252, -0.54689, 2.129318, 2.728165, 2.405654, -2.448669]"
22,extend,goal_bias,4,18,0.03253020000556717,0.0007302999947569333,0.0007302999947569333,6,0,0,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[6.032219, 0.995348, 3.055017, -1.307472, 1.651391, 3.057601, 1.579411, 3.124871]",0.5714285714285714,extend_edge_collision,,"[6.007777, 0.994126, 3.032692, -1.143003, 1.483959, 3.035955, 1.740531, 3.120897]","[6.050551, 0.996265, 3.07176, -1.430824, 1.776965, 3.073835, 1.45857, 3.127852]","[6.125266, 1.0, 3.14, -1.93356, 2.28876, 3.14, 0.966068, 3.14]"
23,add_node,random,13,19,0.03500000000349246,,,6,0,0,True,False,,,,best_parent=8,0.7265570814772333,"[5.438049, 0.750649, 1.996244, -0.919684, 0.617277, 2.071656, 1.062184, 2.314765]","[5.013505, 0.512425, 1.343412, -0.252104, 0.516238, 0.998619, 0.157956, 2.093272]","[1.850549, 0.095894, 2.912384, 2.654955, -1.031199, 0.933014, -2.75582, 2.023912]"
