iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
15,add_node,random,11,17,0.029245499999888125,,,True,False,,,,best_parent=7,0.46315478078267114,"[6.322197, -0.486017, -1.407135, -0.915958, -0.188055, 0.858997, -1.61623, -0.757814]","[6.055208, -0.486461, -0.990384, -0.470156, -0.419367, 0.38066, -0.945249, -0.216423]","[3.640019, -0.778256, 0.95215, 0.19219, -2.622694, -2.884612, 0.575681, 1.862668]"
16,add_node,random,15,18,0.03173929999866232,,,True,False,,,,best_parent=9,0.5395102602901969,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[5.630982, -0.391526, -1.37757, -0.308411, -0.322876, 0.989625, -0.20302, -0.382563]","[3.963936, -0.958503, -1.266697, 0.110364, -1.262632, 1.523597, 1.368343, -1.039621]"
17,add_node,random,14,19,0.033007799998813425,,,True,False,,,,best_parent=8,0.5788777027497501,"[5.90966, -0.401074, -1.495053, -0.940056, -0.511237, 0.562197, -2.029411, -0.804546]","[4.957794, -0.066642, -1.894318, -0.386168, -1.155106, 0.52516, -2.41698, -0.703881]","[3.315922, 0.047019, -0.711261, 1.207013, -2.523789, 1.390631, -2.44025, -2.667609]"
18,add_node,random,16,20,0.03680329999951937,,,True,False,,,,best_parent=3,0.4767374228195408,"[6.642898, -0.642451, -1.117366, -1.650529, 0.561661, 0.419794, -1.961142, -0.933699]","[5.954824, -0.424816, -0.651355, -0.670491, -0.480669, 0.161546, -0.985238, -0.227744]","[4.977835, 0.175145, 2.64826, -2.620267, -1.077295, -1.970989, -1.374435, -0.337925]"
19,add_node,random,15,21,0.0398150999990321,,,True,False,,,,best_parent=9,0.5430223751275479,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.071524, -0.189139, -1.437535, -0.162122, -0.227813, 0.652605, -0.392132, -0.301064]","[7.782778, 0.940735, -1.871026, 2.086664, -0.861032, -1.937817, 0.352303, -0.587096]"
20,add_node,random,20,22,0.04272619999937888,,,True,False,,,,best_parent=9,0.558643179972793,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.48671, 0.846283, 2.068442, -0.968527, 0.421494, 2.314496, -2.039523, 0.378206]"
21,add_node,random,21,23,0.04473589999906835,,,True,False,,,,best_parent=9,0.607520266285553,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.136354, 0.001887, -0.990874, -0.323102, -0.020171, 0.517689, -0.402882, -0.30909]","[7.354778, 0.991797, 0.301117, -1.219663, 1.504684, -2.437253, 1.039305, -1.031964]"
22,add_node,random,22,24,0.04684599999927741,,,True,False,,,,best_parent=9,0.6652505572040404,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[6.263803, 0.072425, -0.817556, -0.344612, -0.015264, 0.708162, -0.151003, -0.058423]","[7.873443, 0.963299, 1.371391, -0.616281, 0.046715, 3.113772, 3.030157, 3.107429]"
23,add_node,random,17,25,0.05076389999885578,,,True,False,,,,best_parent=7,0.5586517200402272,"[6.322197, -0.486017, -1.407135, -0.915958, -0.188055, 0.858997, -1.61623, -0.757814]","[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[0.071948, -0.629956, -1.962961, -3.054921, 1.20954, 2.31257, 0.108983, -1.947125]"
24,add_node,random,23,26,0.05281239999931131,,,True,False,,,,best_parent=22,0.7251350077941443,"[6.136354, 0.001887, -0.990874, -0.323102, -0.020171, 0.517689, -0.402882, -0.30909]","[5.812908, 0.117742, -0.749791, -0.283994, 0.244687, 0.602359, -0.022053, -0.053923]","[2.197366, 0.481119, -0.20641, 0.202077, 2.329123, -0.246031, 1.01194, -0.017843]"
25,add_node,random,25,27,0.05477009999958682,,,True,False,,,,best_parent=21,0.759361138151047,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.460875, 0.132398, -0.599037, -0.083795, 0.200326, 0.585668, -0.132513, 0.253845]","[2.76933, 0.24446, 0.553585, 1.446874, -0.138846, 0.458055, -0.97706, 2.606959]"
26,add_node,goal_bias,18,28,0.05600830000003043,,,True,False,,,,best_parent=13,0.6429181844080174,"[5.432215, -0.188997, -1.874453, -0.723271, -0.809495, 0.454676, -2.285563, -0.5495]","[4.759234, 0.037251, -2.115521, -0.317621, -1.270401, 0.448956, -2.545371, -0.525395]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
27,add_node,random,25,29,0.05801619999874674,,,True,False,,,,best_parent=22,0.750295829412776,"[6.136354, 0.001887, -0.990874, -0.323102, -0.020171, 0.517689, -0.402882, -0.30909]","[5.87999, 0.144977, -0.51646, -0.534438, 0.276701, 0.347313, 0.013563, -0.294217]","[6.545501, 0.415173, 1.798357, -3.019022, 0.594299, -2.182923, 0.366902, -2.678111]"
28,add_node,random,24,30,0.0619090000000142,,,True,False,,,,best_parent=9,0.635698412574082,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[4.750766, -0.403653, -1.455778, -0.622321, -0.160535, 1.305518, 0.087679, -0.346422]","[1.849291, -0.344754, -1.657698, -1.190333, 0.06477, 2.757386, 1.976899, 0.867962]"
29,add_node,random,29,31,0.06569630000012694,,,True,False,,,,best_parent=9,0.6603098719768488,"[6.324252, -0.428819, -1.381206, -0.636647, -0.013734, 0.878638, -1.313483, -0.619862]","[4.43505, -0.425974, -1.36278, -0.663741, 0.033132, 0.992042, 0.158405, -0.52908]","[0.723941, -0.688359, -0.269626, -1.150619, 2.309608, -2.692734, 0.989752, -2.676146]"
30,add_node,random,30,32,0.0680861000000732,,,True,False,,,,best_parent=24,0.7343109863522952,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[4.189837, -0.380557, -1.491681, -0.518679, 0.325663, 1.064623, 0.401792, -0.608658]","[1.836231, 0.055366, -2.728905, 0.873659, 3.133442, 1.761278, 2.737883, -1.372473]"
