iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.08,"[1.674383, -0.903612, -2.325819, 1.543106, -0.038411, -2.474693, 1.029831, 2.215243]","[2.011212, -0.878669, -2.278631, 1.288662, -0.349416, -2.50175, 1.019611, 2.315485]","[4.407794, -0.701197, -1.942883, -0.521741, -2.562257, -2.694266, 0.946895, 3.028717]"
1,add_node,goal_bias,0,3,True,False,,,,best_parent=0,0.08,"[1.674383, -0.903612, -2.325819, 1.543106, -0.038411, -2.474693, 1.029831, 2.215243]","[1.737974, -0.961789, -2.384329, 1.595802, -0.158293, -2.770128, 1.356344, 2.260143]","[1.779741, -1.0, -2.422759, 1.630413, -0.237032, -2.964172, 1.570802, 2.289633]"
1,connect_goal,,2,3,True,False,,,,periodic_goal_connected,0.1325449293298874,"[1.737974, -0.961789, -2.384329, 1.595802, -0.158293, -2.770128, 1.356344, 2.260143]","[1.779741, -1.0, -2.422759, 1.630413, -0.237032, -2.964172, 1.570802, 2.289633]",
