iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,,,best_parent=0,0.07999999999999997,"[1.78032, -1.0, -2.42341, 1.630352, -0.236904, -2.964239, 1.570802, 2.288982]","[2.045915, -0.991099, -2.204602, 1.400276, -0.353637, -2.740768, 1.364288, 2.293724]","[5.465724, -0.876495, 0.612775, -1.56218, -1.856699, 0.136648, -1.294792, 2.354783]"
1,add_node,random,1,3,True,False,,,,best_parent=0,0.1390144737059995,"[1.78032, -1.0, -2.42341, 1.630352, -0.236904, -2.964239, 1.570802, 2.288982]","[2.359025, -0.968152, -1.965337, 1.449884, -0.235801, -2.470738, 1.424993, 2.106463]","[7.53913, -0.588513, 1.993069, 2.270597, 1.713699, 1.996665, 2.429301, -0.991585]"
2,add_node,random,2,4,True,False,,,,best_parent=0,0.20425802401972873,"[1.78032, -1.0, -2.42341, 1.630352, -0.236904, -2.964239, 1.570802, 2.288982]","[2.349075, -0.966195, -1.777754, 1.213072, -0.102303, -2.211597, 1.198624, 1.948923]","[2.182069, -0.933333, 1.370846, -2.761821, 2.138462, 2.138097, -2.600991, -0.695401]"
3,add_node,random,3,5,True,False,,,,best_parent=0,0.2660686466757159,"[1.78032, -1.0, -2.42341, 1.630352, -0.236904, -2.964239, 1.570802, 2.288982]","[2.54137, -0.923949, -1.748084, 0.953845, -0.257169, -1.888908, 1.096361, 2.018165]","[5.504753, -0.272918, -1.290861, -3.040996, -2.643744, 3.083917, -0.479569, 3.08523]"
4,add_node,random,4,6,True,False,,,,best_parent=0,0.312941015411375,"[1.78032, -1.0, -2.42341, 1.630352, -0.236904, -2.964239, 1.570802, 2.288982]","[2.357118, -0.864131, -1.725245, 0.682145, -0.104976, -1.647344, 1.200296, 1.847834]","[0.089408, -0.127914, -1.444141, -2.661857, 1.768162, 1.325747, 2.4795, -0.248544]"
5,add_node,goal_bias,5,7,True,False,,,,best_parent=0,0.34978851445562426,"[1.78032, -1.0, -2.42341, 1.630352, -0.236904, -2.964239, 1.570802, 2.288982]","[2.2082, -0.892596, -1.852909, 0.710969, 0.062016, -1.289872, 1.277916, 1.620731]","[1.646296, -1.0, -2.334617, 0.81973, 0.692117, 0.058954, 1.570791, 0.763818]"
6,add_node,random,5,8,True,False,,,,best_parent=2,0.37575021927415164,"[2.359025, -0.968152, -1.965337, 1.449884, -0.235801, -2.470738, 1.424993, 2.106463]","[2.652793, -0.759613, -1.587111, 0.815528, -0.131143, -1.429857, 1.2675, 1.85684]","[7.301803, 0.88376, 0.584815, 2.912769, -0.542575, 1.98978, 2.324177, 1.998434]"
7,add_node,random,7,9,True,False,,,,best_parent=2,0.44502113944107974,"[2.359025, -0.968152, -1.965337, 1.449884, -0.235801, -2.470738, 1.424993, 2.106463]","[2.879288, -0.657452, -1.397447, 0.758915, -0.030569, -1.220281, 1.324979, 1.713432]","[5.47714, 0.514316, 0.777969, 0.109565, 1.122994, 1.183518, 1.984248, 0.068577]"
8,add_node,random,8,10,True,False,,,,best_parent=3,0.5105845757277258,"[2.349075, -0.966195, -1.777754, 1.213072, -0.102303, -2.211597, 1.198624, 1.948923]","[3.092701, -0.563135, -1.502322, 0.454904, 0.054371, -1.215789, 1.450719, 1.810638]","[4.691894, 0.143629, -2.288199, -1.823177, 0.690866, -1.182132, 2.39294, 2.53904]"
9,add_node,random,8,11,True,False,,,,best_parent=2,0.4771330016752394,"[2.359025, -0.968152, -1.965337, 1.449884, -0.235801, -2.470738, 1.424993, 2.106463]","[2.868507, -0.669111, -1.150478, 0.81213, 0.122402, -1.144863, 0.952331, 1.574822]","[2.818783, -0.722885, -0.011369, 1.057582, 0.82796, -0.797009, -0.766459, 0.9355]"
10,add_node,goal_bias,6,12,True,False,,,,best_parent=6,0.4297885144556243,"[2.2082, -0.892596, -1.852909, 0.710969, 0.062016, -1.289872, 1.277916, 1.620731]","[2.059281, -0.921061, -1.980574, 0.739794, 0.229009, -0.932399, 1.355535, 1.393628]","[1.646296, -1.0, -2.334617, 0.81973, 0.692117, 0.058954, 1.570791, 0.763818]"
11,add_node,random,10,13,True,False,,,,best_parent=3,0.5354272066905122,"[2.349075, -0.966195, -1.777754, 1.213072, -0.102303, -2.211597, 1.198624, 1.948923]","[2.802447, -0.618061, -1.07847, 0.595072, 0.270336, -1.067459, 0.70769, 1.285119]","[1.833362, 0.130832, -0.022125, -2.589115, 2.44049, 0.068043, -2.881142, -2.964755]"
12,add_node,random,12,14,True,False,,,,best_parent=12,0.6154272066905122,"[2.802447, -0.618061, -1.07847, 0.595072, 0.270336, -1.067459, 0.70769, 1.285119]","[2.864793, -0.530995, -0.860527, 0.543577, 0.432572, -0.882405, 0.702159, 1.031225]","[3.762255, 0.722302, 2.276729, -0.19769, 2.767949, 1.781422, 0.622544, -2.623546]"
13,add_node,random,13,15,True,False,,,,best_parent=12,0.6785444681370704,"[2.802447, -0.618061, -1.07847, 0.595072, 0.270336, -1.067459, 0.70769, 1.285119]","[2.725944, -0.480493, -0.987286, 0.417853, 0.472423, -0.707044, 0.785666, 0.651898]","[1.482635, -0.028279, -2.122331, -0.707924, 0.829257, 0.863203, 1.533423, -2.744733]"
14,add_node,random,13,16,True,False,,,,best_parent=12,0.6776116510580984,"[2.802447, -0.618061, -1.07847, 0.595072, 0.270336, -1.067459, 0.70769, 1.285119]","[2.881041, -0.516439, -0.608886, 0.563838, 0.583333, -0.592122, 0.420343, 1.032902]","[3.083743, -0.334834, 2.530548, 0.816616, 2.464195, 3.029402, -3.095545, 1.053823]"
15,add_node,random,14,17,True,False,,,,best_parent=7,0.7200210156266201,"[2.652793, -0.759613, -1.587111, 0.815528, -0.131143, -1.429857, 1.2675, 1.85684]","[2.806138, -0.426355, -0.7528, 0.147517, 0.344225, -0.863248, 0.968167, 0.520607]","[3.479346, 0.028124, 1.215654, -2.121895, -0.731968, -2.174543, 2.500217, -0.581547]"
16,add_node,random,16,18,True,False,,,,best_parent=10,0.7434864800782024,"[2.868507, -0.669111, -1.150478, 0.81213, 0.122402, -1.144863, 0.952331, 1.574822]","[2.903307, -0.429037, -0.452654, 0.332985, 0.06381, -0.959435, 1.068815, 0.366114]","[3.92313, -0.457193, 2.697448, 2.279516, -2.879211, -1.968949, 2.125141, -1.255327]"
17,add_node,random,11,19,True,False,,,,best_parent=2,0.45458222432534406,"[2.359025, -0.968152, -1.965337, 1.449884, -0.235801, -2.470738, 1.424993, 2.106463]","[2.079781, -0.9098, -2.05677, 0.99683, -0.055734, -0.692316, 1.545837, 1.457527]","[2.225672, -0.829662, -2.599044, 2.82612, -2.082207, 1.016315, 2.90019, 1.91229]"
18,add_node,random,16,20,True,False,,,,best_parent=12,0.7701809435839111,"[2.802447, -0.618061, -1.07847, 0.595072, 0.270336, -1.067459, 0.70769, 1.285119]","[3.097103, -0.371856, -0.725443, -0.111932, 0.478791, -0.822411, 0.71141, 0.394667]","[6.472512, 0.260366, -0.408083, -3.121722, 2.039864, -0.348677, -2.267167, -1.066325]"
19,add_node,goal_bias,18,21,True,False,,,,best_parent=6,0.5277252167202868,"[2.2082, -0.892596, -1.852909, 0.710969, 0.062016, -1.289872, 1.277916, 1.620731]","[1.922325, -0.942564, -2.157693, 0.932502, 0.21591, -0.419431, 1.554901, 1.20555]","[1.646296, -1.0, -2.334617, 0.81973, 0.692117, 0.058954, 1.570791, 0.763818]"
20,add_node,goal_bias,20,22,True,False,,,,best_parent=6,0.5962798005181115,"[2.2082, -0.892596, -1.852909, 0.710969, 0.062016, -1.289872, 1.277916, 1.620731]","[1.76487, -0.975327, -2.258616, 0.868173, 0.487553, -0.146545, 1.563965, 0.953572]","[1.646296, -1.0, -2.334617, 0.81973, 0.692117, 0.058954, 1.570791, 0.763818]"
