iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
15,add_node,random,13,17,0.024068400000032852,,,True,False,,,,best_parent=3,0.47518007752365965,"[5.169498, -0.500477, -1.557403, -1.46597, -1.223681, -0.283221, 1.024138, -1.371206]","[4.311334, -0.704489, -0.864297, -1.451108, -0.478751, -1.510045, 0.883669, -1.203377]","[5.660515, -0.481143, -0.561075, -2.561705, 2.186203, -2.30744, 1.896883, -0.895383]"
16,add_node,random,14,18,0.02621759999965434,,,True,False,,,,best_parent=0,0.2896636839991527,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.207183, 0.09373, -1.240246, -1.231968, -1.433563, 0.202179, 0.976351, -1.5268]","[5.251178, 0.47002, 1.965635, 2.334888, 0.229319, -0.756304, 0.677391, -2.50792]"
17,add_node,random,16,19,0.027996200000416138,,,True,False,,,,best_parent=3,0.49901030192543927,"[5.169498, -0.500477, -1.557403, -1.46597, -1.223681, -0.283221, 1.024138, -1.371206]","[4.225411, -0.636127, -0.705541, -1.545035, -0.324142, -1.474894, 0.797683, -0.835813]","[3.389325, 0.029086, 0.839271, -2.45901, 1.180308, -1.132845, -0.039024, 2.740841]"
18,add_node,random,15,20,0.030820099998891237,,,True,False,,,,best_parent=0,0.2816886995877828,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.73921, -0.066286, -1.709023, -1.266371, -0.845292, 0.823791, 0.482126, -1.395148]","[3.552936, 0.053548, -1.220121, -0.109959, 0.655467, 1.134964, -0.53132, -2.654688]"
19,add_node,random,19,21,0.03438379999897734,,,True,False,,,,best_parent=0,0.31518930950548374,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.822596, -0.117612, -1.478599, 2.875767, -1.453731, 1.816332, -1.797987, 2.214905]"
20,add_node,random,18,22,0.03659530000004452,,,True,False,,,,best_parent=3,0.5183466291649003,"[5.169498, -0.500477, -1.557403, -1.46597, -1.223681, -0.283221, 1.024138, -1.371206]","[4.270485, -0.586211, -0.369974, -1.525342, -0.402077, -1.366922, 0.517016, -0.705211]","[4.710781, -0.09861, 2.907977, -1.332968, -1.163368, -0.312209, -2.224654, 0.570566]"
21,add_node,random,17,23,0.03961600000002363,,,True,False,,,,best_parent=0,0.3417420266882961,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.318881, 0.134299, -0.892244, -0.957849, -1.511298, 0.18776, 0.907625, -1.671969]","[6.414335, 0.532171, 2.52073, 1.730533, -2.273672, 0.046347, 0.233605, -3.095694]"
22,add_node,goal_bias,13,24,0.04153969999970286,,,True,False,,,,best_parent=9,0.5278174333485561,"[4.591452, -0.647265, -1.330429, -1.269732, -1.07315, -0.960336, 1.030864, -1.249496]","[3.85382, -0.812195, -0.8733, -1.148725, -0.823334, -1.734523, 0.824577, -1.165165]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
23,add_node,goal_bias,23,25,0.045393200000034994,,,True,False,,,,best_parent=9,0.6000014885601863,"[4.591452, -0.647265, -1.330429, -1.269732, -1.07315, -0.960336, 1.030864, -1.249496]","[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
24,extend,goal_bias,24,25,0.04594759999963571,0.0002175999998144107,0.0002175999998144107,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.550005, -0.899785, -0.832122, -0.985231, -0.771141, -2.13232, 0.928326, -1.068091]",0.16666666666666666,extend_edge_collision,,"[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.332994, -0.96235, -0.802709, -0.86845, -0.73386, -2.416461, 1.002432, -0.998752]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
