iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
0,add_node,random,0,2,True,False,,best_parent=0,0.08000000000000007,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.65693, 0.644107, 0.00188, 0.580511, 0.361131, 0.234257, 2.109417, 0.012843]","[6.40314, -0.298858, 1.488933, 1.263302, 2.220444, 2.624394, 0.527831, 1.401635]"
1,add_node,random,1,3,True,False,,best_parent=0,0.12285673058760072,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.678403, 0.623612, -0.014999, 0.512511, 0.120051, 0.433955, 1.763576, -0.146717]","[2.945278, 0.368884, -0.224795, -0.332643, -2.876261, 2.915952, -2.534781, -2.129857]"
2,add_node,random,2,4,True,False,,best_parent=0,0.1846577014403481,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.974487, 0.53693, 0.171549, 0.356365, -0.013131, 0.377199, 1.592536, -0.263031]","[7.048264, -0.655718, 2.738248, -1.792016, -1.845569, -0.403702, -0.760778, -1.863374]"
3,add_node,random,3,5,True,False,,best_parent=0,0.19232823543353011,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.807795, 0.574562, 0.423512, 0.612703, -0.113732, 0.149898, 1.433413, -0.195328]","[1.650244, 0.835892, 2.173208, 2.392784, -0.812331, -1.428543, 0.328417, 0.274818]"
4,add_node,random,3,6,True,False,,best_parent=0,0.22337559137712193,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[3.205381, 0.498957, 0.103554, 0.570613, -0.177907, 0.621182, 1.713902, -0.492303]","[5.363801, 0.143985, -0.532069, 2.57342, -1.718246, 2.901957, 2.848437, -2.635559]"
5,add_node,random,4,7,True,False,,best_parent=0,0.23308520514394793,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.680083, 0.579043, 0.297005, 0.835686, -0.27229, 0.185187, 1.146965, -0.455591]","[1.489657, 0.620811, -0.882182, 2.914145, -1.750236, 0.514122, -1.523056, -2.881537]"
6,choose_parent,random,1,7,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]",parent_edge_collision,,"[2.65693, 0.644107, 0.00188, 0.580511, 0.361131, 0.234257, 2.109417, 0.012843]","[2.624299, 0.563317, 0.00049, 0.849759, -0.135368, -0.029077, 0.89297, -0.280345]","[2.034797, 0.397129, -3.132932, 0.998479, 1.311559, -2.293319, -1.791125, 1.571574]"
6,add_node,random,6,8,True,False,,best_parent=0,0.24735117149696254,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.624299, 0.563317, 0.00049, 0.849759, -0.135368, -0.029077, 0.89297, -0.280345]","[2.034797, 0.397129, -3.132932, 0.998479, 1.311559, -2.293319, -1.791125, 1.571574]"
7,add_node,random,3,9,True,False,,best_parent=0,0.2316307073296598,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.92161, 0.421522, 0.296584, 0.062693, 0.099592, 0.407835, 1.615516, -0.320202]","[2.355406, -0.814255, 1.635444, -3.081915, 1.306618, 0.735892, 1.861577, -0.932377]"
8,add_node,goal_bias,2,10,True,False,,best_parent=0,0.16071794085436641,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.786062, 0.652169, -0.290066, 0.260471, 0.300833, 0.563119, 1.607947, -0.302504]","[3.896572, 0.946741, -3.127376, -2.339315, 2.165592, 1.895447, 0.002636, -1.909438]"
9,add_node,goal_bias,9,11,True,False,,best_parent=0,0.22218626594427698,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.893722, 0.680727, -0.565133, 0.008432, 0.481614, 0.692283, 1.452319, -0.45829]","[3.896572, 0.946741, -3.127376, -2.339315, 2.165592, 1.895447, 0.002636, -1.909438]"
10,choose_parent,random,1,11,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]",parent_edge_collision,,"[2.65693, 0.644107, 0.00188, 0.580511, 0.361131, 0.234257, 2.109417, 0.012843]","[2.744462, 0.578889, 0.5149, 0.924061, -0.358305, 0.338257, 0.821053, -0.695279]","[3.310597, 0.577531, 2.431026, 1.701214, -1.114698, 1.68432, -2.044951, -2.803036]"
10,add_node,random,6,12,True,False,,best_parent=0,0.30532537142326094,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.744462, 0.578889, 0.5149, 0.924061, -0.358305, 0.338257, 0.821053, -0.695279]","[3.310597, 0.577531, 2.431026, 1.701214, -1.114698, 1.68432, -2.044951, -2.803036]"
11,add_node,random,0,13,True,False,,best_parent=0,0.07999999999999999,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.289605, 0.639647, -0.358951, 0.349501, 0.077179, -0.233296, 2.293029, -0.011651]","[1.864065, -0.18772, -2.601067, -1.309889, -1.114025, -2.753198, 2.747803, 0.907386]"
12,add_node,random,11,14,True,False,,best_parent=0,0.3592232867956798,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[3.098336, 0.50833, 0.379567, 0.853889, -0.415591, 0.413869, 0.588484, -0.889853]","[7.115935, -0.292736, -1.156893, 0.057208, -1.06597, 1.272312, -2.051905, -3.098897]"
13,add_node,random,13,15,True,False,,best_parent=0,0.3956350113020457,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[3.168623, 0.445373, 0.577063, 0.732427, -0.43523, 0.476354, 0.351028, -0.580383]","[3.96216, -0.26541, 2.806788, -0.638874, -0.656953, 1.181799, -2.329847, 2.91353]"
14,add_node,random,10,16,True,False,,best_parent=0,0.2645345197590435,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.647708, 0.710945, -0.475383, -0.256404, 0.696453, 0.668437, 1.225544, -0.628034]","[0.740676, 0.945187, 0.220326, -2.309336, 2.361828, 0.483587, -0.532345, -1.943842]"
15,add_node,random,4,17,True,False,,best_parent=0,0.23679105412823545,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[3.003081, 0.579716, 0.617037, 0.714434, -0.237502, -0.127315, 1.307715, 0.073516]","[4.865288, 0.628866, 2.462461, 1.684528, -1.417751, -2.770773, 0.109081, 2.637167]"
16,add_node,random,16,18,True,False,,best_parent=0,0.2697148311450539,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[2.996321, 0.590529, 0.810946, 0.581588, -0.400454, -0.411269, 1.377354, 0.363244]","[2.933874, 0.690406, 2.602168, -0.645575, -1.905716, -3.034269, 2.020644, 3.039597]"
17,add_node,random,17,19,True,False,,best_parent=0,0.2935124054199626,"[2.333739, 0.725458, -0.12641, 0.521605, 0.200725, 0.028056, 2.245862, -0.10697]","[3.007096, 0.539766, 1.149869, 0.425208, -0.337335, -0.32031, 1.627622, 0.475985]","[3.061733, 0.282375, 2.868375, -0.367712, -0.017289, 0.140892, 2.8966, 1.047636]"
