iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
17,add_node,random,12,19,True,False,,,,best_parent=6,0.43359849454910754,"[1.021125, -0.101587, -0.318356, -0.211667, -0.262846, 0.29223, -0.481979, -0.526818]","[1.945882, -0.200483, -1.150551, -0.450812, -0.373245, 0.80348, -1.188098, -0.498013]","[1.416239, -0.479165, -1.996123, -0.323315, -0.282298, 1.75672, -1.824885, -1.324929]"
18,add_node,random,15,20,True,False,,,,best_parent=0,0.24457709385989984,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.310406, -0.125197, 0.318793, 0.215406, -0.019201, 0.298535, -0.640019, -0.687255]","[2.487074, -0.342415, 1.96601, 1.15752, 0.589991, -0.472115, -0.481648, -0.677003]"
19,add_node,random,5,21,True,False,,,,best_parent=0,0.19048838611226315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.179337, -0.075313, 0.06212, -0.581419, -0.031814, 0.030227, -0.091979, -0.379387]","[1.537524, -0.365474, 1.015107, -2.92677, 1.101781, -0.642789, 1.831196, -1.432696]"
20,add_node,random,17,22,True,False,,,,best_parent=0,0.31097689185685223,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.830031, 0.328271, -0.021626, 0.587864, -0.15173, -0.310863, -0.072792, -0.405131]","[6.648976, 0.976378, 2.706797, 2.545295, -1.260366, -2.948624, -0.325274, 0.752914]"
21,add_node,random,20,23,True,False,,,,best_parent=0,0.24399373313478426,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.593366, -0.121051, 0.280462, -0.68588, 0.075135, -0.038461, 0.040657, -0.202975]","[6.625115, -0.676913, 2.934002, -1.95541, 1.374893, -0.873241, 1.652589, 1.940982]"
22,add_node,random,22,24,True,False,,,,best_parent=0,0.2779417459807829,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.789484, -0.09283, 0.395389, -0.79493, 0.319892, 0.168951, -0.128899, 0.048963]","[3.830444, 0.200861, 1.591416, -1.929783, 2.867035, 2.327451, -1.893432, 2.670839]"
23,add_node,random,10,25,True,False,,,,best_parent=8,0.3901631862163535,"[1.205235, -0.051561, -0.018604, 0.555334, -0.533003, 0.581835, -0.130862, 0.590007]","[1.910686, -0.151416, -0.077498, 0.962927, -0.769547, 0.868314, -0.163233, 1.022837]","[4.358921, -0.478334, -0.935176, 2.536058, -2.248051, 1.954616, 0.516648, 2.633682]"
24,add_node,random,21,26,True,False,,,,best_parent=1,0.3861737200139434,"[0.412729, 0.065838, 0.04539, -0.059553, -0.192697, -0.038634, -0.167807, -0.172138]","[2.252227, 0.332961, 0.16597, 0.785024, 0.023863, -0.298337, -0.208889, -0.278748]","[6.893796, 0.384512, 2.228378, 2.952576, 1.954303, -0.160628, -1.705119, 1.110695]"
25,add_node,random,23,27,True,False,,,,best_parent=0,0.33238765394440445,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.141267, -0.080346, 0.595039, -0.866873, 0.440189, 0.246185, 0.165783, -0.093718]","[4.649616, 0.008674, 2.018621, -1.379855, 1.297957, 0.796891, 2.266984, -1.111092]"
26,add_node,random,23,28,True,False,,,,best_parent=0,0.31994900600257886,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.064996, -0.059777, 0.282136, -1.031108, 0.122313, 0.136922, -0.122203, 0.340428]","[4.085782, 0.182657, -0.548541, -2.763401, -1.326866, -0.097998, -0.07309, 2.47823]"
