iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,4.768164544064034,4.640799327496432,0.9599310886154543,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.138100849593616,3.065965825769118,0.623974478931858,1.750366110902483,0.6502897145407357,2.430513248592346,1.4888326417111346,0.019572497736413882,0.008618689027489228,0.2827773131160234,0.11199266927842376,-0.0043107698845098385,-0.05879197455917585,-0.0043107698845098385
2,2.0092066562038866,1.9653247445647648,0.4053311676985905,2.7309548756288375,0.9455851875994735,2.0244154474518554,2.4527562666679645,-0.27077401003468615,-0.010838314548057098,0.48324393684516187,0.5017976855094588,-0.036654630191405725,-0.43069806219238155,0.04669198272289435
3,1.2969682779801592,1.2695615092360397,0.26207781897217897,3.3679318812182917,1.154531904155543,1.8316914327202383,3.0064373674933966,-0.24251773691576725,-0.07169107477698848,0.6281862893767762,0.5049992650807826,-0.10868457410673385,-0.43876828098454757,0.16083819187037787
4,0.8408358195802815,0.8233803763101919,0.1695905468110862,3.7734946519944956,1.274154939258482,1.6880235066906344,3.3602422009762343,-0.22437834355267736,-0.10329472263025916,0.722181471801423,0.5129733339090194,-0.16607920211783597,-0.4526763130717139,0.22972818546095136
5,0.5459165434454787,0.5346946065905017,0.10988791554136841,4.0354431289202894,1.3448636672155518,1.5891169788159696,3.5875719481626396,-0.21121964817943853,-0.12297643549653707,0.7836065056952994,0.5179253430904954,-0.20586064708225094,-0.4634981686266252,0.2719591819995719
6,0.3546542243610617,0.34740432598235227,0.07127920610713966,4.205373978768377,1.387707388173022,1.5229647963123285,3.7343579176957897,-0.20193684704671724,-0.13573793686715868,0.8236673844906489,0.5207594756043186,-0.23243431558863467,-0.47105350266588364,0.29813660013682214
7,0.2304639213876235,0.225767843672215,0.046269534412911144,4.315779435555371,1.4141925719241784,1.4793014626170244,3.8294165530354958,-0.19557956468682502,-0.14407957823401413,0.8497531261725478,0.5223919303388717,-0.2499367405729565,-0.47613445581739156,0.31455251619661395
8,0.14978113349485528,0.146734897188544,0.030049404855353606,4.387546796739771,1.4308182669012972,1.450673226673927,3.891076877599371,-0.19131025454962317,-0.14953382165431855,0.8667238557067761,0.5233551505298659,-0.2613925464898145,-0.4794956160619541,0.3249522873695741
9,0.09735073950470073,0.09537310958076133,0.019521384307818423,4.434204008917547,1.441371969966633,1.4319698197163762,3.931108763542015,-0.18847775250715684,-0.15309544494418398,0.8777596325092267,0.5239378871276648,-0.26886782250350827,-0.4817013950063747,0.33159313638571253
10,0.0632755547301079,0.06199106018549356,0.012684439139764601,4.464536668920001,1.4481239483049653,1.4197750459191103,3.957111580228971,-0.1866125560483842,-0.155418030261092,0.8849344457147014,0.5242978603946301,-0.2737378769267078,-0.4831429691484411,0.33585816539294916
11,0.041128286148882955,0.040293754360596734,0.008243034807451626,4.484255763621875,1.4524668794598072,1.4118333050996277,3.97400652840976,-0.1853900621353678,-0.1569310097659087,0.88959859900782,0.5245237547969412,-0.27690783975430505,-0.4840829755313555,0.33860834243586696
12,0.026733128525930003,0.026190841506574313,0.0053572087806329815,4.497074557078885,1.4552703627504475,1.406664987598699,3.9849855875800784,-0.18459117140490405,-0.15791584587518134,0.892630486082547,0.5246671148600384,-0.27897013037026197,-0.4846951353323449,0.34038654424942155
13,0.017376472976037637,0.017024051134211994,0.003481873521499324,4.505407416120625,1.4570844222468469,1.4033030307590013,3.99212096154003,-0.1840700815364042,-0.15855656593326833,0.8946012850386506,0.5247588062540431,-0.2803113822440162,-0.4850934879051294,0.3415383820006986
14,0.01129471020911996,0.011065662296596937,0.0022630924002765753,4.5108240707057465,1.4582601041476733,1.401116702067496,3.9967585809083785,-0.18373060056174179,-0.15897326321786315,0.8958823349056775,0.524817760327608,-0.2811835246540329,-0.4853525888208598,0.34228538829707217
15,0.007341580426240788,0.007192709820301962,0.0014709612203086485,4.514345033298582,1.459022845638621,1.3996951499153931,3.999772907021036,-0.18350960583326872,-0.1592442026880474,0.8967150314526481,0.5248557988426154,-0.28175056260473935,-0.4855210675641395,0.3427702310588974
16,0.004772046442411928,0.00467528466436613,0.0009561068217097537,4.516633723617831,1.459518020588588,1.3987709593984599,4.001732184785028,-0.18336581501931062,-0.15942034252850612,0.8972562913248975,0.5248803992012117,-0.28211920358665077,-0.48563059991117985,0.343085080299728
