iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,8.64126469377386,5.183096230364021,3.141582555790671,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.455585612490727,4.831383229381995,2.8368945857426806,0.38358024698013976,1.5109327918493494,2.286159294810376,0.0,0.6127996614612344,-0.14180648909169527,0.5425356759120568,0.00020797552179543377,-0.18286406640937605,-0.5421197248684657,-0.18286406640937605
2,9.450746033301998,5.916931361938161,3.0218467755310554,0.29447738439926224,-0.33964211717284665,-0.862693154956933,0.0,-1.0,-0.10342276108772533,2.6680231104965833,0.14204535710183583,-1.209509235815432,-2.795941377007853,-0.003934007563431152
3,6.227745097120824,5.702375451609436,1.4031424492349722,0.26271756965260323,-1.0240989004963024,0.5110012872965473,0.0,-1.0,-0.344129551379721,-3.14,3.14,0.9703562277210034,-3.14,2.7028218155748482
4,4.748113991083063,4.423971292698414,1.1855680899361423,1.141169653084104,0.3972145388059802,0.5110012872965473,0.8794981977230919,0.4238292728276274,-0.3843219180160858,-3.14,3.14,0.8199901297414351,-3.14,2.8547403253157486
5,3.591876000644058,3.331113657802414,1.0703551804804037,2.218177007965847,0.9719619456038411,0.5110012872965473,1.957156152259941,1.0,-0.407394635637472,-3.14,3.14,0.7158560056089458,-3.14,2.9602721667518854
6,2.8120080123177296,2.5546857653785975,1.0129598375477726,3.121286932957853,0.9711735891828825,0.5110012872965473,2.8606470890593614,1.0,-0.420290035664233,-3.14,3.14,0.6439471345336581,-3.14,3.033353127619984
7,2.3372376945692377,2.059714793509468,0.9854708058091778,3.7727193794501717,0.9709204067027416,0.5110012872965473,3.512209914778878,1.0,-0.42443577120872034,-3.14,3.14,0.59298769314061,-3.14,3.085269031036764
8,2.0655006605203177,1.7828347798961897,0.9443761801295814,4.2253472010795035,0.9486095666649637,0.5105943131516533,3.9748602182038084,1.0,-0.4221007640163776,-3.14,3.107396544817809,0.5559772254801671,-3.14,3.123110290551141
9,1.9594348894744906,1.6477712675180796,0.9642986658128391,4.523904423837846,0.9158246534765455,0.5123760738805883,4.313333463069798,1.0,-0.7881368179368395,-3.085742524711136,3.0826875486433827,0.7298021289607883,-3.14,2.9829208211531353
10,2.1615455698328474,1.9015866541802033,1.0154031183692416,7.058218601928307,1.2155333400326953,2.235266034016159,6.604871962466433,1.0,-0.6626652652428839,0.31694251571810916,-0.25050609532847545,0.6585246432543612,-3.14,3.0698320788874374
11,1.5893623064388118,1.2146647529845864,1.0192769664163834,6.36633622119772,1.1364872002753794,2.0162504791834146,5.71419917647495,0.6214884590368636,-0.6223904136682984,0.7913074759842547,-0.7214406641022919,0.6308173368186841,-3.14,3.0969994036199497
