iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,4.432675670278351,4.295374193801571,0.9599310885996581,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.9318081127735387,2.854218690991394,0.6239477634322185,1.618616065577365,0.655359650543249,2.462617028442071,1.3545840334979544,0.1254359174065635,0.005603349335402607,0.22300785404297857,0.11199706713229976,-0.002800857131281553,0.0009862802216208972,-0.002800857131281553
2,1.85542018368642,1.8084270679591274,0.40515739356277025,2.512147281751335,0.9332164401252507,1.9792205908325036,2.234878041806422,-0.3819308461541863,-0.007647028050562447,0.6431783180644869,0.3001913581470085,0.004266359448953283,-0.3885355073717382,0.00294315315306862
3,1.19862057258434,1.1694065961561146,0.26065212280018357,3.092687502186956,1.1407215578233931,1.8046052251726812,2.709109895579483,-0.3143825967701045,-0.08338360201399495,0.7430974592536369,0.34285673030166064,-0.10669783816168711,-0.3890633111228148,0.16953898298406977
4,0.7776275507216667,0.7591500681074766,0.16787511090806248,3.461171455709498,1.2624755408858617,1.6705493610894104,3.0173328628161036,-0.2742190058554603,-0.12063389646499145,0.8096536947911072,0.3816284865773424,-0.19226936656750004,-0.40823073552953837,0.2698289740655405
5,0.5051680795280613,0.49337452831281153,0.10834455171827827,3.6992092735189126,1.335963021702315,1.5777355798582982,3.2126244178586334,-0.2453588715172482,-0.14591337587745037,0.8516991345618545,0.41122197707367936,-0.2508989285488486,-0.42740607092040755,0.33273686648151324
6,0.3283473530179286,0.3207722242519207,0.0700744614656515,3.853716419362046,1.3813060202634113,1.5155291724247877,3.3365054488696555,-0.22470536180872266,-0.1638005118856134,0.8785964538598986,0.4317591443483184,-0.29009727245178524,-0.44258020091424166,0.37262399658683665
7,0.2134676867424812,0.20858050970601535,0.0454029179331745,3.9541687289250698,1.409747988633893,1.4744382805023648,3.4155774762779934,-0.2103045788030908,-0.17624455911906695,0.8959644269006487,0.4454503464310758,-0.3160276586181343,-0.4535607780818407,0.39805519345039736
8,0.13879467189386674,0.13563213464094395,0.0294562680220027,4.019511594173004,1.4278000186952846,1.4474923145129721,3.4663485958961604,-0.20048438524114906,-0.18471978425742736,0.9072252444299121,0.45443173244855006,-0.3330803780404649,-0.461160774865104,0.4143506614321787
9,0.09024633163479254,0.08819570123281648,0.0191280106974569,4.062020132535303,1.4393512776791284,1.4298900567177244,3.4990947769982252,-0.19389367214457556,-0.19039847931590137,0.9145369538789491,0.4602880055867506,-0.344255872648864,-0.4662928518592194,0.424838737325123
