iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3,dq0_rt_joint_linear_track,dq1_rt_joint_carriage,dq2_rt_base,dq3_rt_shoulder,dq4_rt_elbow,dq5_rt_wrist1,dq6_rt_wrist2,dq7_rt_wrist3
0,8.367103079812972,5.1849668413329075,3.018257663660071,0.267,-3.2807478955731993e-13,2.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.418357478930341,4.922212142440915,2.758182708315188,0.9184476779142732,-0.9378940090406186,2.4411332652611812,0.5836124640324655,-0.3595975278252292,0.1258985235394072,-0.330785608023608,-0.012541795900809305,0.14999155790350607,0.30570201622198945,0.14999155790350607,0.5836124640324655,-0.3595975278252292,0.1258985235394072,-0.330785608023608,-0.012541795900809305,0.14999155790350607,0.30570201622198945,0.14999155790350607
2,6.72558615986237,4.623958990560643,2.6142044239233955,0.682675731793639,0.35887465051032574,1.399823286715189,1.4000656124040325,-1.0,0.6080032863709516,1.1176306601743893,0.16788007772683908,-0.3526205941157534,-1.344814907127588,0.4462422459633353,0.816453148371567,-0.6404024721747708,0.48210476283154435,1.4484162681979973,0.1804218736276484,-0.5026121520192595,-1.6505169233495776,0.29625068805982924
3,5.310307185269589,4.159862806673242,2.037138672101688,1.3117218635980537,-0.06808127737912928,2.090916778155239,1.7842369015972852,-1.0,0.6867495778189688,0.6356131552188458,0.17568383207864965,0.03549839143790812,-0.9671169301904767,0.7403380524598866,0.3841712891932527,0.0,0.07874629144801726,-0.4820175049555435,0.007803754351810577,0.38811898555366153,0.3776979769371114,0.2940958064965513
4,4.515361071204395,3.74573804267892,1.6981866645180517,2.0683130414567095,-0.5294141461053739,2.4556106145373473,2.053984938638144,-1.0,0.571107084415534,0.2111592531181672,0.16317716886715422,0.4943278049355787,-0.5299144989781897,0.7873490096532708,0.2697480370408587,0.0,-0.1156424934034348,-0.42445390210067857,-0.012506663211495433,0.4588294134976706,0.4372024312122871,0.04701095719338422
5,4.3221742445970035,3.397912760361897,1.8970955282594135,2.6088345322091766,-0.697941071982067,2.3996043814656542,2.1040952090175593,-0.10770545985142421,0.37631929357853144,-0.5200798599688763,0.3004979213151704,1.6443045343193057,0.003831302397713343,-0.009286990645469118,0.0501102703794154,0.8922945401485758,-0.1947877908370026,-0.7312391130870435,0.13732075244801617,1.1499767293837269,0.533745801375903,-0.7966360002987399
6,3.6536813467980225,3.028482565889941,1.537678996683959,3.0598352189158073,-0.5906212515240349,2.5126392572575664,2.878745965289042,-0.7857542186693416,0.620681704674916,0.23333046097641952,-0.2683170746456359,1.5861957576422694,-0.24163284931573892,-0.0700227479689596,0.7746507562714826,-0.6780487588179174,0.24436241109638457,0.7534103209452958,-0.5688149959608063,-0.05810877667703629,-0.24546415171345226,-0.060735757323490486
7,2.8032173385142345,2.371069065440731,1.2313520849614747,3.6117185973862,-0.28866462810111015,2.229529525299774,2.9571009888948923,0.09921233262914297,0.6469961642305891,-0.8378728276961671,0.9067505077493604,1.6589212569372174,-0.49864342719773336,-0.034596839397473565,0.07835502360585034,0.8849665512984846,0.02631445955567313,-1.0712032886725866,1.1750675823949963,0.07272549929494798,-0.25701057788199444,0.03542590857148604
8,2.2976372098617097,1.9953896022385607,0.9875168014689635,3.983330694805932,-0.044629107135976995,2.3477765196960934,3.392786498892023,0.11338177574098066,0.8186011664560167,-0.6025519710961589,0.7063016359252853,1.6488895419005047,-0.7097810452392318,-0.0707697589803061,0.4356855099971306,0.014169443111837682,0.17160500222542752,0.23532085660000823,-0.20044887182407511,-0.01003171503671263,-0.21113761804149844,-0.03617291958283254
9,1.8624143170921328,1.6452812047184222,0.7892043339256449,4.2967217124704185,0.20734233526849943,2.3756181511858365,3.72917036182949,0.26773185256371657,0.9416435840761633,-0.509442456022201,0.6027099716307519,1.6588730669885607,-0.8879778583557217,-0.10274731565067177,0.3363838629374669,0.1543500768227359,0.12304241762014667,0.09310951507395793,-0.10359166429453337,0.009983525088056,-0.17819681311648994,-0.03197755667036567
10,1.4961019960893078,1.3351810791698973,0.6305707938682816,4.538233714611817,0.4440154972441047,2.340083732910526,3.9116327849767623,0.492209984950632,1.0305715059267377,-0.5585854048532939,0.6304747492022154,1.6611395499550936,-1.031314630806056,-0.11404444236364192,0.18246242314727246,0.22447813238691544,0.08892792185057441,-0.049142948831092936,0.02776477757146345,0.002266482966532868,-0.14333677245033416,-0.011297126712970146
11,1.1933014390773282,1.070899499592059,0.5034654343836338,4.712288874743664,0.6485753063631947,2.2660787404701117,3.978087346354957,0.7091527344553437,1.1065004932181217,-0.6804833729829902,0.7256821806402908,1.6522772993747812,-1.1458943336932588,-0.12006807579094889,0.06645456137819483,0.21694274950471165,0.07592898729138398,-0.12189796812969633,0.09520743143807542,-0.008862250580312425,-0.11457970288720287,-0.006023633427306968
